"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.171"
"São Paulo","Positivo / Detectável",165
"São Paulo","Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável",684
"Minas Gerais","Positivo / Detectável",51
"Minas Gerais","Inconclusivo / Indeterminado",1
"Paraná","Negativo / Não Detectável",536
"Paraná","Positivo / Detectável",69
"Ceará","Negativo / Não Detectável",289
"Ceará","Positivo / Detectável",96
"Ceará","Inconclusivo / Indeterminado",2
Bahia,"Negativo / Não Detectável",348
Bahia,"Positivo / Detectável",32
"Rio de Janeiro","Negativo / Não Detectável",289
"Rio de Janeiro","Positivo / Detectável",27
"Rio de Janeiro","Inconclusivo / Indeterminado",5
"Rio Grande do Sul","Negativo / Não Detectável",220
"Rio Grande do Sul","Positivo / Detectável",34
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Piauí","Negativo / Não Detectável",144
"Piauí","Positivo / Detectável",21
"Maranhão","Negativo / Não Detectável",132
"Maranhão","Positivo / Detectável",12
"Paraíba","Negativo / Não Detectável",132
"Paraíba","Positivo / Detectável",8
"Mato Grosso do Sul","Negativo / Não Detectável",128
"Mato Grosso do Sul","Positivo / Detectável",10
"Espírito Santo","Negativo / Não Detectável",120
"Espírito Santo","Positivo / Detectável",15
"Espírito Santo","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",122
"Goiás","Positivo / Detectável",9
"Santa Catarina","Negativo / Não Detectável",113
"Santa Catarina","Positivo / Detectável",16
"Santa Catarina","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",110
Amazonas,"Positivo / Detectável",18
Pernambuco,"Negativo / Não Detectável",80
Pernambuco,"Positivo / Detectável",31
Pernambuco,"Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",97
"Pará","Positivo / Detectável",13
"Rio Grande do Norte","Negativo / Não Detectável",86
"Rio Grande do Norte","Positivo / Detectável",22
Alagoas,"Negativo / Não Detectável",99
Alagoas,"Positivo / Detectável",6
"Rondônia","Negativo / Não Detectável",83
"Rondônia","Positivo / Detectável",11
Sergipe,"Negativo / Não Detectável",67
Sergipe,"Positivo / Detectável",10
"Mato Grosso","Negativo / Não Detectável",60
"Mato Grosso","Positivo / Detectável",4
"Amapá","Negativo / Não Detectável",39
"Amapá","Positivo / Detectável",3
Tocantins,"Negativo / Não Detectável",30
Tocantins,"Positivo / Detectável",4
Acre,"Negativo / Não Detectável",22
Acre,"Positivo / Detectável",5
Roraima,"Negativo / Não Detectável",4
Roraima,"Positivo / Detectável",4
"Distrito Federal","Inconclusivo / Indeterminado",1
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
