"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",830
"Paraná","Coronavirus SARS-CoV2",809
Bahia,"Coronavirus SARS-CoV2",591
"Espírito Santo","Coronavirus SARS-CoV2",550
Pernambuco,"Coronavirus SARS-CoV2",272
Sergipe,"Coronavirus SARS-CoV2",267
"Mato Grosso","Coronavirus SARS-CoV2",200
"Rio Grande do Norte","Coronavirus SARS-CoV2",192
"Santa Catarina","Coronavirus SARS-CoV2",189
"Ceará","Coronavirus SARS-CoV2",182
"Piauí","Coronavirus SARS-CoV2",168
"Rio de Janeiro","Coronavirus SARS-CoV2",163
"Rondônia","Coronavirus SARS-CoV2",161
Tocantins,"Coronavirus SARS-CoV2",161
"Rio Grande do Sul","Coronavirus SARS-CoV2",149
"Mato Grosso do Sul","Coronavirus SARS-CoV2",134
"Minas Gerais","Coronavirus SARS-CoV2",133
Acre,"Coronavirus SARS-CoV2",114
"Pará","Coronavirus SARS-CoV2",114
"Paraíba","Coronavirus SARS-CoV2",74
"Goiás","Coronavirus SARS-CoV2",71
Alagoas,"Coronavirus SARS-CoV2",59
Roraima,"Coronavirus SARS-CoV2",53
"Amapá","Coronavirus SARS-CoV2",46
"Maranhão","Coronavirus SARS-CoV2",43
Amazonas,"Coronavirus SARS-CoV2",34
"Distrito Federal","Coronavirus SARS-CoV2",2
