"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.254"
"Paraná","Coronavirus SARS-CoV2",768
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",316
"Rio Grande do Sul","Coronavirus SARS-CoV2",288
"Santa Catarina","Coronavirus SARS-CoV2",268
Tocantins,"Coronavirus SARS-CoV2",195
"Minas Gerais","Coronavirus SARS-CoV2",172
"Mato Grosso do Sul","Coronavirus SARS-CoV2",167
"Ceará","Coronavirus SARS-CoV2",158
"Rondônia","Coronavirus SARS-CoV2",154
"Espírito Santo","Coronavirus SARS-CoV2",144
"Rio de Janeiro","Coronavirus SARS-CoV2",144
Pernambuco,"Coronavirus SARS-CoV2",112
Sergipe,"Coronavirus SARS-CoV2",108
"Rio Grande do Norte","Coronavirus SARS-CoV2",86
"Goiás","Coronavirus SARS-CoV2",76
"Piauí","Coronavirus SARS-CoV2",56
Acre,"Coronavirus SARS-CoV2",44
"Pará","Coronavirus SARS-CoV2",42
"Paraíba","Coronavirus SARS-CoV2",19
Roraima,"Coronavirus SARS-CoV2",9
Alagoas,"Coronavirus SARS-CoV2",6
Amazonas,"Coronavirus SARS-CoV2",3
"Mato Grosso","Coronavirus SARS-CoV2",2
"Amapá","Coronavirus SARS-CoV2",1
"Distrito Federal","Coronavirus SARS-CoV2",1
"Maranhão","Coronavirus SARS-CoV2",1
