"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",674
"Paraná","Coronavirus SARS-CoV2",361
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2",237
Bahia,Rinovirus,1
Bahia,"Virus Sincicial Respiratorio",1
"Espírito Santo","Coronavirus SARS-CoV2",231
"Espírito Santo",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",189
"Rio de Janeiro","Coronavirus SARS-CoV2",119
"Ceará","Coronavirus SARS-CoV2",105
"Minas Gerais","Coronavirus SARS-CoV2",90
"Piauí","Coronavirus SARS-CoV2",88
Sergipe,"Coronavirus SARS-CoV2",75
Pernambuco,"Coronavirus SARS-CoV2",70
"Mato Grosso do Sul","Coronavirus SARS-CoV2",65
"Rio Grande do Norte","Coronavirus SARS-CoV2",46
"Santa Catarina","Coronavirus SARS-CoV2",45
Amazonas,"Coronavirus SARS-CoV2",34
"Paraíba","Coronavirus SARS-CoV2",32
"Goiás","Coronavirus SARS-CoV2",27
Tocantins,"Coronavirus SARS-CoV2",24
"Pará","Coronavirus SARS-CoV2",21
"Rondônia","Coronavirus SARS-CoV2",15
"Distrito Federal","Coronavirus SARS-CoV2",5
"Maranhão","Coronavirus SARS-CoV2",5
Acre,"Coronavirus SARS-CoV2",4
Roraima,"Coronavirus SARS-CoV2",4
Alagoas,"Coronavirus SARS-CoV2",3
"Mato Grosso","Coronavirus SARS-CoV2",2
