"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",238
"São Paulo","Influenza B",3
"São Paulo","Influenza A",2
"Ceará","Coronavirus SARS-CoV2",115
"Ceará","Virus Sincicial Respiratorio",3
"Paraná",Rinovirus,35
"Paraná","Coronavirus SARS-CoV2",26
"Paraná","Influenza A",8
"Paraná","Virus Sincicial Respiratorio",8
"Paraná","Influenza B",6
"Paraná",Adenovirus,3
"Rio de Janeiro","Coronavirus SARS-CoV2",42
"Rio de Janeiro","Influenza A",1
Bahia,"Coronavirus SARS-CoV2",26
Bahia,"Influenza A",8
Bahia,"Influenza B",2
Bahia,Rinovirus,2
"Rio Grande do Norte","Coronavirus SARS-CoV2",26
"Rio Grande do Norte","Influenza B",1
"Minas Gerais","Coronavirus SARS-CoV2",21
"Minas Gerais","Virus Sincicial Respiratorio",2
"Minas Gerais","Influenza B",1
"Maranhão","Coronavirus SARS-CoV2",10
"Maranhão","Influenza B",7
"Maranhão","Influenza A",3
"Maranhão",Metapneumovirus,1
"Maranhão","Virus Sincicial Respiratorio",1
"Goiás","Coronavirus SARS-CoV2",5
"Goiás",Metapneumovirus,5
"Goiás","Influenza A",3
"Goiás","Influenza B",3
"Goiás",Rinovirus,2
"Goiás","Virus Sincicial Respiratorio",2
"Goiás","Parainfluenza tipo 3",1
"Pará","Influenza A",12
"Pará","Coronavirus SARS-CoV2",7
"Pará","Influenza B",2
Pernambuco,"Influenza A",15
Pernambuco,"Coronavirus SARS-CoV2",3
Pernambuco,"Influenza B",3
Amazonas,"Coronavirus SARS-CoV2",20
"Piauí","Influenza A",9
"Piauí",Metapneumovirus,4
"Piauí","Virus Sincicial Respiratorio",2
"Piauí","Coronavirus SARS-CoV2",1
"Santa Catarina","Coronavirus SARS-CoV2",12
"Santa Catarina","Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",11
"Rio Grande do Sul","Influenza B",1
"Mato Grosso do Sul","Virus Sincicial Respiratorio",3
"Mato Grosso do Sul","Influenza A",2
"Mato Grosso do Sul",Metapneumovirus,2
"Mato Grosso do Sul","Coronavirus SARS-CoV2",1
"Mato Grosso do Sul","Influenza B",1
Alagoas,"Coronavirus SARS-CoV2",6
Alagoas,"Influenza A",2
"Espírito Santo","Influenza B",4
"Espírito Santo","Coronavirus SARS-CoV2",3
"Espírito Santo","Virus Sincicial Respiratorio",1
Sergipe,"Influenza B",4
Sergipe,"Influenza A",3
Sergipe,"Coronavirus SARS-CoV2",1
Roraima,"Coronavirus SARS-CoV2",6
"Rondônia","Coronavirus SARS-CoV2",3
"Rondônia","Influenza A",1
Acre,"Influenza A",2
"Amapá","Coronavirus SARS-CoV2",2
"Paraíba","Coronavirus SARS-CoV2",2
Tocantins,"Coronavirus SARS-CoV2",1
