"UF de residência","Vírus","Nº de vírus identificados"
"Paraná",Metapneumovirus,2
"Paraná",Rinovirus,2
"Paraná",Adenovirus,1
"Paraná",Bocavirus,1
"Paraná","Coronavirus HKU1",1
"Paraná","Influenza A",1
"Paraná","Influenza B",1
"Paraná","Parainfluenza tipo 1",1
"São Paulo","Influenza B",4
"São Paulo","Influenza A",2
"São Paulo",Adenovirus,1
"São Paulo",Rinovirus,1
Bahia,"Influenza A",2
Bahia,"Influenza B",1
Bahia,Metapneumovirus,1
"Minas Gerais","Coronavirus SARS-CoV2",3
"Minas Gerais","Influenza A",1
"Piauí","Parainfluenza tipo 3",4
"Mato Grosso do Sul","Influenza A",2
"Mato Grosso do Sul","Influenza B",1
"Espírito Santo","Influenza B",1
"Espírito Santo","Virus Sincicial Respiratorio",1
Pernambuco,"Influenza A",1
Pernambuco,"Influenza B",1
"Rio de Janeiro","Influenza B",2
Amazonas,"Influenza B",1
"Ceará","Influenza B",1
"Goiás",Rinovirus,1
"Pará","Influenza B",1
"Santa Catarina","Coronavirus SARS-CoV2",1
Sergipe,"Virus Sincicial Respiratorio",1
