"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.980"
"Paraná","Coronavirus SARS-CoV2","1.519"
"Paraná",Rinovirus,2
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",818
Bahia,Rinovirus,1
Bahia,"Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",514
Tocantins,"Coronavirus SARS-CoV2",472
"Minas Gerais","Coronavirus SARS-CoV2",419
"Santa Catarina","Coronavirus SARS-CoV2",400
"Mato Grosso do Sul","Coronavirus SARS-CoV2",378
"Ceará","Coronavirus SARS-CoV2",320
Pernambuco,"Coronavirus SARS-CoV2",310
"Rio de Janeiro","Coronavirus SARS-CoV2",293
"Rondônia","Coronavirus SARS-CoV2",282
"Espírito Santo","Coronavirus SARS-CoV2",262
"Rio Grande do Norte","Coronavirus SARS-CoV2",152
Sergipe,"Coronavirus SARS-CoV2",120
"Piauí","Coronavirus SARS-CoV2",106
"Goiás","Coronavirus SARS-CoV2",84
"Paraíba","Coronavirus SARS-CoV2",42
"Pará","Coronavirus SARS-CoV2",40
Amazonas,"Coronavirus SARS-CoV2",35
"Mato Grosso","Coronavirus SARS-CoV2",31
"Maranhão","Coronavirus SARS-CoV2",28
Acre,"Coronavirus SARS-CoV2",24
Roraima,"Coronavirus SARS-CoV2",13
Alagoas,"Coronavirus SARS-CoV2",8
"Amapá","Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",4
