"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",404
"Espírito Santo","Coronavirus SARS-CoV2",309
Bahia,"Coronavirus SARS-CoV2",299
Sergipe,"Coronavirus SARS-CoV2",153
"Rio de Janeiro","Coronavirus SARS-CoV2",135
"Ceará","Coronavirus SARS-CoV2",125
Pernambuco,"Coronavirus SARS-CoV2",121
"Paraná","Coronavirus SARS-CoV2",107
"Paraná",Adenovirus,1
"Paraná",Rinovirus,1
"Amapá","Coronavirus SARS-CoV2",107
"Rio Grande do Norte","Coronavirus SARS-CoV2",88
Alagoas,"Coronavirus SARS-CoV2",73
"Santa Catarina","Coronavirus SARS-CoV2",67
"Pará","Coronavirus SARS-CoV2",66
"Paraíba","Coronavirus SARS-CoV2",63
"Piauí","Coronavirus SARS-CoV2",63
"Minas Gerais","Coronavirus SARS-CoV2",58
"Rondônia","Coronavirus SARS-CoV2",54
"Mato Grosso","Coronavirus SARS-CoV2",52
Tocantins,"Coronavirus SARS-CoV2",49
"Rio Grande do Sul","Coronavirus SARS-CoV2",48
Roraima,"Coronavirus SARS-CoV2",34
Acre,"Coronavirus SARS-CoV2",33
"Goiás","Coronavirus SARS-CoV2",32
"Mato Grosso do Sul","Coronavirus SARS-CoV2",22
Amazonas,"Coronavirus SARS-CoV2",16
"Maranhão","Coronavirus SARS-CoV2",16
"Distrito Federal","Coronavirus SARS-CoV2",2
