"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.731"
"Paraná","Coronavirus SARS-CoV2","1.801"
"Paraná",Rinovirus,2
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",806
Bahia,Rinovirus,7
"Rio Grande do Sul","Coronavirus SARS-CoV2",647
"Rio de Janeiro","Coronavirus SARS-CoV2",618
"Minas Gerais","Coronavirus SARS-CoV2",510
"Ceará","Coronavirus SARS-CoV2",409
"Mato Grosso do Sul","Coronavirus SARS-CoV2",367
"Santa Catarina","Coronavirus SARS-CoV2",326
Pernambuco,"Coronavirus SARS-CoV2",281
Pernambuco,"Virus Sincicial Respiratorio",2
"Rondônia","Coronavirus SARS-CoV2",225
"Espírito Santo","Coronavirus SARS-CoV2",221
"Goiás","Coronavirus SARS-CoV2",220
Tocantins,"Coronavirus SARS-CoV2",211
"Rio Grande do Norte","Coronavirus SARS-CoV2",200
Sergipe,"Coronavirus SARS-CoV2",185
"Piauí","Coronavirus SARS-CoV2",99
Amazonas,"Coronavirus SARS-CoV2",67
"Pará","Coronavirus SARS-CoV2",55
"Paraíba","Coronavirus SARS-CoV2",54
"Mato Grosso","Coronavirus SARS-CoV2",39
"Maranhão","Coronavirus SARS-CoV2",25
Acre,"Coronavirus SARS-CoV2",24
Roraima,"Coronavirus SARS-CoV2",16
Alagoas,"Coronavirus SARS-CoV2",11
"Distrito Federal","Coronavirus SARS-CoV2",6
