"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",393
"Ceará","Coronavirus SARS-CoV2",272
"Rio de Janeiro","Coronavirus SARS-CoV2",210
Pernambuco,"Coronavirus SARS-CoV2",208
Amazonas,"Coronavirus SARS-CoV2",191
"Pará","Coronavirus SARS-CoV2",135
"Amapá","Coronavirus SARS-CoV2",125
Bahia,"Coronavirus SARS-CoV2",100
"Espírito Santo","Coronavirus SARS-CoV2",99
Alagoas,"Coronavirus SARS-CoV2",90
"Maranhão","Coronavirus SARS-CoV2",64
"Rondônia","Coronavirus SARS-CoV2",35
"Paraíba","Coronavirus SARS-CoV2",34
Acre,"Coronavirus SARS-CoV2",28
"Santa Catarina","Coronavirus SARS-CoV2",26
"Rio Grande do Norte","Coronavirus SARS-CoV2",24
"Rio Grande do Norte","Influenza B",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",23
"Piauí","Coronavirus SARS-CoV2",22
"Minas Gerais","Coronavirus SARS-CoV2",14
"Minas Gerais","Influenza B",1
Roraima,"Coronavirus SARS-CoV2",13
Sergipe,"Coronavirus SARS-CoV2",8
Sergipe,"Influenza B",2
Sergipe,"Influenza A",1
"Goiás","Coronavirus SARS-CoV2",9
"Paraná","Coronavirus SARS-CoV2",8
"Paraná","Virus Sincicial Respiratorio",1
"Mato Grosso","Coronavirus SARS-CoV2",4
"Mato Grosso do Sul","Coronavirus SARS-CoV2",4
