"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",107
"São Paulo","Influenza B",2
"São Paulo","Influenza A",1
"Ceará","Coronavirus SARS-CoV2",76
"Ceará","Virus Sincicial Respiratorio",1
"Paraná",Rinovirus,25
"Paraná","Coronavirus SARS-CoV2",13
"Paraná","Influenza A",9
"Paraná",Metapneumovirus,3
"Paraná","Virus Sincicial Respiratorio",2
"Paraná",Adenovirus,1
Bahia,"Influenza A",9
Bahia,"Coronavirus SARS-CoV2",8
Bahia,"Influenza B",3
Pernambuco,"Influenza A",13
Pernambuco,"Coronavirus SARS-CoV2",3
Pernambuco,"Influenza B",1
"Santa Catarina","Coronavirus SARS-CoV2",17
"Espírito Santo","Influenza B",7
"Espírito Santo","Coronavirus SARS-CoV2",5
"Espírito Santo","Influenza A",3
"Espírito Santo","Virus Sincicial Respiratorio",1
"Goiás",Metapneumovirus,6
"Goiás","Influenza A",4
"Goiás","Coronavirus SARS-CoV2",3
"Goiás","Influenza B",2
"Goiás",Rinovirus,1
Amazonas,"Coronavirus SARS-CoV2",12
Amazonas,"Influenza A",1
"Pará","Influenza A",7
"Pará","Influenza B",4
"Pará","Coronavirus SARS-CoV2",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",12
"Rio Grande do Norte","Coronavirus SARS-CoV2",8
"Rio Grande do Norte","Influenza B",1
"Rio de Janeiro","Coronavirus SARS-CoV2",8
"Rio de Janeiro","Influenza B",1
"Minas Gerais","Influenza A",6
"Minas Gerais","Coronavirus SARS-CoV2",1
"Minas Gerais","Influenza B",1
"Piauí","Influenza A",4
"Piauí",Metapneumovirus,3
"Piauí","Coronavirus SARS-CoV2",1
Sergipe,"Influenza A",3
Sergipe,"Influenza B",3
Sergipe,"Parainfluenza tipo 1",1
Acre,"Coronavirus SARS-CoV2",4
"Maranhão","Influenza A",2
"Maranhão","Influenza B",2
Alagoas,"Coronavirus SARS-CoV2",2
Alagoas,"Influenza A",1
"Amapá","Influenza B",2
"Amapá","Influenza A",1
"Mato Grosso do Sul","Influenza A",3
"Distrito Federal","Coronavirus SARS-CoV2",2
"Paraíba","Coronavirus SARS-CoV2",1
"Rondônia","Influenza A",1
Roraima,"Coronavirus SARS-CoV2",1
Tocantins,"Influenza B",1
