"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Influenza B",7
"São Paulo","Influenza A",2
"Paraná",Metapneumovirus,2
"Paraná",Adenovirus,1
"Paraná","Coronavirus 229E",1
"Paraná","Influenza A",1
"Minas Gerais","Influenza A",2
"Minas Gerais","Coronavirus SARS-CoV2",1
Amazonas,Adenovirus,2
Bahia,"Influenza B",1
Bahia,Metapneumovirus,1
"Ceará","Influenza B",2
Sergipe,"Influenza B",2
"Goiás","Influenza A",1
"Maranhão","Coronavirus SARS-CoV2",1
"Mato Grosso do Sul",Adenovirus,1
"Piauí","Influenza A",1
"Rio Grande do Sul","Influenza B",1
"Rio de Janeiro","Influenza A",1
Roraima,"Influenza A",1
