"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.270"
"Paraná","Coronavirus SARS-CoV2","1.575"
Bahia,"Coronavirus SARS-CoV2",860
Sergipe,"Coronavirus SARS-CoV2",759
"Espírito Santo","Coronavirus SARS-CoV2",580
"Mato Grosso","Coronavirus SARS-CoV2",556
"Minas Gerais","Coronavirus SARS-CoV2",454
"Rio Grande do Sul","Coronavirus SARS-CoV2",421
"Santa Catarina","Coronavirus SARS-CoV2",414
"Rio de Janeiro","Coronavirus SARS-CoV2",386
Pernambuco,"Coronavirus SARS-CoV2",347
Tocantins,"Coronavirus SARS-CoV2",283
"Rondônia","Coronavirus SARS-CoV2",221
"Mato Grosso do Sul","Coronavirus SARS-CoV2",206
"Ceará","Coronavirus SARS-CoV2",205
"Rio Grande do Norte","Coronavirus SARS-CoV2",164
"Goiás","Coronavirus SARS-CoV2",148
Roraima,"Coronavirus SARS-CoV2",134
Acre,"Coronavirus SARS-CoV2",123
Amazonas,"Coronavirus SARS-CoV2",112
"Piauí","Coronavirus SARS-CoV2",101
"Paraíba","Coronavirus SARS-CoV2",100
"Pará","Coronavirus SARS-CoV2",100
Alagoas,"Coronavirus SARS-CoV2",57
"Amapá","Coronavirus SARS-CoV2",45
"Maranhão","Coronavirus SARS-CoV2",35
"Distrito Federal","Coronavirus SARS-CoV2",6
