"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",514
"São Paulo","Virus Sincicial Respiratorio",1
Bahia,"Coronavirus SARS-CoV2",364
"Espírito Santo","Coronavirus SARS-CoV2",330
"Paraná","Coronavirus SARS-CoV2",224
Sergipe,"Coronavirus SARS-CoV2",162
Pernambuco,"Coronavirus SARS-CoV2",137
"Ceará","Coronavirus SARS-CoV2",118
"Rio Grande do Norte","Coronavirus SARS-CoV2",116
"Rio de Janeiro","Coronavirus SARS-CoV2",109
"Piauí","Coronavirus SARS-CoV2",99
"Amapá","Coronavirus SARS-CoV2",98
"Santa Catarina","Coronavirus SARS-CoV2",93
"Minas Gerais","Coronavirus SARS-CoV2",87
"Rondônia","Coronavirus SARS-CoV2",79
Acre,"Coronavirus SARS-CoV2",78
Alagoas,"Coronavirus SARS-CoV2",69
"Rio Grande do Sul","Coronavirus SARS-CoV2",66
Tocantins,"Coronavirus SARS-CoV2",57
Roraima,"Coronavirus SARS-CoV2",56
"Goiás","Coronavirus SARS-CoV2",51
"Pará","Coronavirus SARS-CoV2",48
"Mato Grosso do Sul","Coronavirus SARS-CoV2",46
"Paraíba","Coronavirus SARS-CoV2",37
"Maranhão","Coronavirus SARS-CoV2",18
"Maranhão","Influenza A",1
Amazonas,"Coronavirus SARS-CoV2",4
"Mato Grosso","Coronavirus SARS-CoV2",4
"Distrito Federal","Coronavirus SARS-CoV2",2
