"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.659"
"São Paulo","Influenza B",1
"Paraná","Coronavirus SARS-CoV2","1.348"
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",743
Sergipe,"Coronavirus SARS-CoV2",706
"Mato Grosso","Coronavirus SARS-CoV2",469
"Espírito Santo","Coronavirus SARS-CoV2",462
"Santa Catarina","Coronavirus SARS-CoV2",386
"Rio Grande do Sul","Coronavirus SARS-CoV2",385
Pernambuco,"Coronavirus SARS-CoV2",331
"Rondônia","Coronavirus SARS-CoV2",330
"Minas Gerais","Coronavirus SARS-CoV2",311
"Rio Grande do Norte","Coronavirus SARS-CoV2",268
"Rio de Janeiro","Coronavirus SARS-CoV2",223
"Mato Grosso do Sul","Coronavirus SARS-CoV2",192
Roraima,"Coronavirus SARS-CoV2",192
Tocantins,"Coronavirus SARS-CoV2",169
"Ceará","Coronavirus SARS-CoV2",167
"Goiás","Coronavirus SARS-CoV2",142
Acre,"Coronavirus SARS-CoV2",126
"Paraíba","Coronavirus SARS-CoV2",90
"Piauí","Coronavirus SARS-CoV2",84
Alagoas,"Coronavirus SARS-CoV2",82
"Pará","Coronavirus SARS-CoV2",66
Amazonas,"Coronavirus SARS-CoV2",43
"Amapá","Coronavirus SARS-CoV2",40
"Maranhão","Coronavirus SARS-CoV2",28
"Distrito Federal","Coronavirus SARS-CoV2",4
