"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",261
"Ceará","Coronavirus SARS-CoV2",238
"Rio de Janeiro","Coronavirus SARS-CoV2",192
Pernambuco,"Coronavirus SARS-CoV2",184
Pernambuco,"Influenza A",1
Bahia,"Coronavirus SARS-CoV2",158
"Pará","Coronavirus SARS-CoV2",124
"Maranhão","Coronavirus SARS-CoV2",93
"Amapá","Coronavirus SARS-CoV2",76
"Espírito Santo","Coronavirus SARS-CoV2",76
Alagoas,"Coronavirus SARS-CoV2",32
"Rio Grande do Sul","Coronavirus SARS-CoV2",24
"Paraná","Coronavirus SARS-CoV2",21
"Paraná","Virus Sincicial Respiratorio",1
Acre,"Coronavirus SARS-CoV2",21
"Rio Grande do Norte","Coronavirus SARS-CoV2",21
"Piauí","Coronavirus SARS-CoV2",19
"Santa Catarina","Coronavirus SARS-CoV2",18
Roraima,"Coronavirus SARS-CoV2",16
"Rondônia","Coronavirus SARS-CoV2",11
"Rondônia","Influenza A",1
"Paraíba","Coronavirus SARS-CoV2",10
Sergipe,"Coronavirus SARS-CoV2",6
Sergipe,"Influenza B",3
"Minas Gerais","Coronavirus SARS-CoV2",4
"Goiás","Coronavirus SARS-CoV2",2
Tocantins,"Coronavirus SARS-CoV2",2
"Mato Grosso do Sul","Influenza A",1
