"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",702
Pernambuco,"Coronavirus SARS-CoV2",661
"Ceará","Coronavirus SARS-CoV2",615
"São Paulo","Coronavirus SARS-CoV2",486
"Amapá","Coronavirus SARS-CoV2",398
"Pará","Coronavirus SARS-CoV2",306
Alagoas,"Coronavirus SARS-CoV2",305
"Espírito Santo","Coronavirus SARS-CoV2",272
Sergipe,"Coronavirus SARS-CoV2",264
Sergipe,"Influenza B",1
Bahia,"Coronavirus SARS-CoV2",257
Amazonas,"Coronavirus SARS-CoV2",187
"Maranhão","Coronavirus SARS-CoV2",182
"Rondônia","Coronavirus SARS-CoV2",151
Roraima,"Coronavirus SARS-CoV2",139
"Rio Grande do Norte","Coronavirus SARS-CoV2",128
"Paraíba","Coronavirus SARS-CoV2",125
Acre,"Coronavirus SARS-CoV2",116
"Santa Catarina","Coronavirus SARS-CoV2",93
"Rio Grande do Sul","Coronavirus SARS-CoV2",52
"Minas Gerais","Coronavirus SARS-CoV2",46
"Minas Gerais","Influenza A",1
Tocantins,"Coronavirus SARS-CoV2",43
"Piauí","Coronavirus SARS-CoV2",36
"Paraná","Coronavirus SARS-CoV2",28
"Mato Grosso","Coronavirus SARS-CoV2",19
"Mato Grosso do Sul","Coronavirus SARS-CoV2",19
"Goiás","Coronavirus SARS-CoV2",16
"Goiás","Parainfluenza tipo 2",1
"Distrito Federal","Coronavirus SARS-CoV2",2
