"UF de residência","Vírus","Nº de vírus identificados"
"Paraná","Influenza B",2
"Paraná",Adenovirus,1
"Paraná",Bocavirus,1
"Paraná","Coronavirus SARS-CoV2",1
"Paraná","Influenza A",1
"Paraná",Rinovirus,1
"Paraná","Virus Sincicial Respiratorio",1
"Rio de Janeiro","Influenza B",4
"Rio de Janeiro",Adenovirus,2
"Rio de Janeiro",Metapneumovirus,1
"Minas Gerais",Adenovirus,2
"Minas Gerais",Rinovirus,2
"Minas Gerais","Influenza B",1
"Minas Gerais",Metapneumovirus,1
"São Paulo","Influenza B",3
"São Paulo","Influenza A",2
"São Paulo",Adenovirus,1
Amazonas,Adenovirus,4
Amazonas,"Virus Sincicial Respiratorio",1
"Pará","Influenza A",2
"Santa Catarina",Rinovirus,2
"Piauí","Parainfluenza tipo 3",1
"Rio Grande do Norte","Parainfluenza tipo 1",1
