"UF de residência","Vírus","Nº de vírus identificados"
Pernambuco,"Coronavirus SARS-CoV2",556
"Rio de Janeiro","Coronavirus SARS-CoV2",527
"São Paulo","Coronavirus SARS-CoV2",324
Amazonas,"Coronavirus SARS-CoV2",319
"Ceará","Coronavirus SARS-CoV2",237
"Maranhão","Coronavirus SARS-CoV2",147
"Pará","Coronavirus SARS-CoV2",140
"Espírito Santo","Coronavirus SARS-CoV2",122
Bahia,"Coronavirus SARS-CoV2",117
"Amapá","Coronavirus SARS-CoV2",109
Alagoas,"Coronavirus SARS-CoV2",60
"Santa Catarina","Coronavirus SARS-CoV2",33
Acre,"Coronavirus SARS-CoV2",32
"Piauí","Coronavirus SARS-CoV2",25
"Piauí","Virus Sincicial Respiratorio",2
"Piauí","Influenza A",1
"Rondônia","Coronavirus SARS-CoV2",25
"Rondônia","Influenza A",2
"Rondônia","Influenza B",1
"Minas Gerais","Coronavirus SARS-CoV2",21
"Minas Gerais","Influenza A",2
"Minas Gerais","Influenza B",2
"Minas Gerais","Virus Sincicial Respiratorio",1
"Paraná","Coronavirus SARS-CoV2",21
"Paraná",Adenovirus,2
"Paraná",Rinovirus,2
"Rio Grande do Norte","Coronavirus SARS-CoV2",25
"Paraíba","Coronavirus SARS-CoV2",22
"Rio Grande do Sul","Coronavirus SARS-CoV2",20
Roraima,"Coronavirus SARS-CoV2",18
Sergipe,"Coronavirus SARS-CoV2",17
Sergipe,"Influenza A",1
"Goiás","Coronavirus SARS-CoV2",11
"Mato Grosso","Coronavirus SARS-CoV2",5
"Mato Grosso do Sul","Coronavirus SARS-CoV2",3
"Mato Grosso do Sul","Virus Sincicial Respiratorio",1
"Distrito Federal","Coronavirus SARS-CoV2",1
