"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.557"
"Paraná","Coronavirus SARS-CoV2","1.802"
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",919
"Rio Grande do Sul","Coronavirus SARS-CoV2",650
Tocantins,"Coronavirus SARS-CoV2",505
"Santa Catarina","Coronavirus SARS-CoV2",410
"Rio de Janeiro","Coronavirus SARS-CoV2",407
"Mato Grosso do Sul","Coronavirus SARS-CoV2",381
"Minas Gerais","Coronavirus SARS-CoV2",374
Pernambuco,"Coronavirus SARS-CoV2",373
Pernambuco,"Virus Sincicial Respiratorio",1
"Goiás","Coronavirus SARS-CoV2",331
"Ceará","Coronavirus SARS-CoV2",330
"Espírito Santo","Coronavirus SARS-CoV2",271
"Rondônia","Coronavirus SARS-CoV2",264
Sergipe,"Coronavirus SARS-CoV2",193
"Rio Grande do Norte","Coronavirus SARS-CoV2",189
"Pará","Coronavirus SARS-CoV2",97
"Pará",Rinovirus,6
"Piauí","Coronavirus SARS-CoV2",102
"Paraíba","Coronavirus SARS-CoV2",47
Amazonas,"Coronavirus SARS-CoV2",37
Amazonas,Rinovirus,1
Acre,"Coronavirus SARS-CoV2",34
"Maranhão","Coronavirus SARS-CoV2",29
Alagoas,"Coronavirus SARS-CoV2",16
"Mato Grosso","Coronavirus SARS-CoV2",14
Roraima,"Coronavirus SARS-CoV2",9
"Amapá","Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",6
