"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",527
Bahia,"Coronavirus SARS-CoV2",327
"Espírito Santo","Coronavirus SARS-CoV2",306
"Paraná","Coronavirus SARS-CoV2",255
Sergipe,"Coronavirus SARS-CoV2",203
"Piauí","Coronavirus SARS-CoV2",128
"Ceará","Coronavirus SARS-CoV2",122
"Rio de Janeiro","Coronavirus SARS-CoV2",118
"Minas Gerais","Coronavirus SARS-CoV2",115
"Rio Grande do Sul","Coronavirus SARS-CoV2",111
"Mato Grosso","Coronavirus SARS-CoV2",92
"Rondônia","Coronavirus SARS-CoV2",92
Pernambuco,"Coronavirus SARS-CoV2",89
Pernambuco,"Virus Sincicial Respiratorio",1
"Goiás","Coronavirus SARS-CoV2",89
"Rio Grande do Norte","Coronavirus SARS-CoV2",87
"Pará","Coronavirus SARS-CoV2",77
"Santa Catarina","Coronavirus SARS-CoV2",77
Acre,"Coronavirus SARS-CoV2",72
"Paraíba","Coronavirus SARS-CoV2",61
"Amapá","Coronavirus SARS-CoV2",56
Tocantins,"Coronavirus SARS-CoV2",54
"Mato Grosso do Sul","Coronavirus SARS-CoV2",49
Alagoas,"Coronavirus SARS-CoV2",47
"Maranhão","Coronavirus SARS-CoV2",35
Amazonas,"Coronavirus SARS-CoV2",18
Roraima,"Coronavirus SARS-CoV2",17
"Distrito Federal","Coronavirus SARS-CoV2",1
