"UF de residência","Vírus","Nº de vírus identificados"
"Ceará","Coronavirus SARS-CoV2",362
"São Paulo","Coronavirus SARS-CoV2",308
"Rio de Janeiro","Coronavirus SARS-CoV2",284
Pernambuco,"Coronavirus SARS-CoV2",241
Alagoas,"Coronavirus SARS-CoV2",235
"Amapá","Coronavirus SARS-CoV2",235
Bahia,"Coronavirus SARS-CoV2",167
Bahia,"Virus Sincicial Respiratorio",1
"Espírito Santo","Coronavirus SARS-CoV2",163
"Pará","Coronavirus SARS-CoV2",149
Sergipe,"Coronavirus SARS-CoV2",120
Amazonas,"Coronavirus SARS-CoV2",104
"Maranhão","Coronavirus SARS-CoV2",104
"Rondônia","Coronavirus SARS-CoV2",93
Acre,"Coronavirus SARS-CoV2",59
"Paraíba","Coronavirus SARS-CoV2",55
"Rio Grande do Sul","Coronavirus SARS-CoV2",40
"Goiás","Coronavirus SARS-CoV2",30
"Goiás",Adenovirus,1
"Rio Grande do Norte","Coronavirus SARS-CoV2",31
"Santa Catarina","Coronavirus SARS-CoV2",27
"Piauí","Coronavirus SARS-CoV2",26
Roraima,"Coronavirus SARS-CoV2",23
Roraima,"Influenza B",1
"Paraná","Coronavirus SARS-CoV2",16
"Minas Gerais","Coronavirus SARS-CoV2",15
Tocantins,"Coronavirus SARS-CoV2",12
Tocantins,"Influenza B",1
"Mato Grosso","Coronavirus SARS-CoV2",5
"Mato Grosso do Sul","Coronavirus SARS-CoV2",3
