"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.488"
Bahia,"Coronavirus SARS-CoV2",978
Bahia,Rinovirus,2
"Paraná","Coronavirus SARS-CoV2",921
"Paraná",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",512
"Ceará","Coronavirus SARS-CoV2",412
"Santa Catarina","Coronavirus SARS-CoV2",408
Sergipe,"Coronavirus SARS-CoV2",359
"Rio de Janeiro","Coronavirus SARS-CoV2",355
"Rio de Janeiro","Virus Sincicial Respiratorio",1
"Minas Gerais","Coronavirus SARS-CoV2",340
Pernambuco,"Coronavirus SARS-CoV2",261
"Mato Grosso do Sul","Coronavirus SARS-CoV2",208
"Rio Grande do Norte","Coronavirus SARS-CoV2",142
"Goiás","Coronavirus SARS-CoV2",135
"Pará","Coronavirus SARS-CoV2",112
Tocantins,"Coronavirus SARS-CoV2",101
Amazonas,"Coronavirus SARS-CoV2",70
"Rondônia","Coronavirus SARS-CoV2",67
"Mato Grosso","Coronavirus SARS-CoV2",59
Roraima,"Coronavirus SARS-CoV2",46
"Paraíba","Coronavirus SARS-CoV2",43
Acre,"Coronavirus SARS-CoV2",13
"Espírito Santo","Coronavirus SARS-CoV2",13
Alagoas,"Coronavirus SARS-CoV2",9
"Maranhão","Coronavirus SARS-CoV2",8
"Distrito Federal","Coronavirus SARS-CoV2",6
