"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.062"
"Paraná","Coronavirus SARS-CoV2","1.995"
"Paraná",Rinovirus,8
Bahia,"Coronavirus SARS-CoV2",845
"Rio Grande do Sul","Coronavirus SARS-CoV2",589
Tocantins,"Coronavirus SARS-CoV2",563
"Santa Catarina","Coronavirus SARS-CoV2",535
"Mato Grosso do Sul","Coronavirus SARS-CoV2",400
Pernambuco,"Coronavirus SARS-CoV2",353
"Rio de Janeiro","Coronavirus SARS-CoV2",343
"Minas Gerais","Coronavirus SARS-CoV2",341
"Espírito Santo","Coronavirus SARS-CoV2",337
"Rondônia","Coronavirus SARS-CoV2",306
"Goiás","Coronavirus SARS-CoV2",298
"Ceará","Coronavirus SARS-CoV2",295
"Rio Grande do Norte","Coronavirus SARS-CoV2",266
Sergipe,"Coronavirus SARS-CoV2",232
"Piauí","Coronavirus SARS-CoV2",116
"Pará","Coronavirus SARS-CoV2",92
"Pará",Rinovirus,1
"Paraíba","Coronavirus SARS-CoV2",78
Acre,"Coronavirus SARS-CoV2",46
"Maranhão","Coronavirus SARS-CoV2",36
Amazonas,"Coronavirus SARS-CoV2",27
Roraima,"Coronavirus SARS-CoV2",19
"Mato Grosso","Coronavirus SARS-CoV2",16
Alagoas,"Coronavirus SARS-CoV2",10
"Distrito Federal","Coronavirus SARS-CoV2",9
"Amapá","Coronavirus SARS-CoV2",7
