"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",882
"Paraná","Coronavirus SARS-CoV2",828
Sergipe,"Coronavirus SARS-CoV2",412
Bahia,"Coronavirus SARS-CoV2",324
Bahia,"Virus Sincicial Respiratorio",2
"Minas Gerais","Coronavirus SARS-CoV2",249
"Espírito Santo","Coronavirus SARS-CoV2",242
"Rio Grande do Sul","Coronavirus SARS-CoV2",199
"Santa Catarina","Coronavirus SARS-CoV2",164
"Mato Grosso do Sul","Coronavirus SARS-CoV2",146
"Goiás","Coronavirus SARS-CoV2",132
"Rio de Janeiro","Coronavirus SARS-CoV2",131
"Rondônia","Coronavirus SARS-CoV2",113
"Ceará","Coronavirus SARS-CoV2",92
Tocantins,"Coronavirus SARS-CoV2",89
Pernambuco,"Coronavirus SARS-CoV2",79
"Piauí","Coronavirus SARS-CoV2",79
"Rio Grande do Norte","Coronavirus SARS-CoV2",75
Acre,"Coronavirus SARS-CoV2",54
"Paraíba","Coronavirus SARS-CoV2",44
"Pará","Coronavirus SARS-CoV2",44
Roraima,"Coronavirus SARS-CoV2",44
"Amapá","Coronavirus SARS-CoV2",26
"Maranhão","Coronavirus SARS-CoV2",24
Alagoas,"Coronavirus SARS-CoV2",13
Amazonas,"Coronavirus SARS-CoV2",6
"Mato Grosso","Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",2
