"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",210
"São Paulo","Influenza B",1
"Rio de Janeiro","Coronavirus SARS-CoV2",102
Amazonas,"Coronavirus SARS-CoV2",74
"Ceará","Coronavirus SARS-CoV2",68
"Ceará",Metapneumovirus,1
Pernambuco,"Coronavirus SARS-CoV2",46
Pernambuco,"Influenza A",2
Pernambuco,"Influenza B",1
"Espírito Santo","Coronavirus SARS-CoV2",30
"Espírito Santo","Virus Sincicial Respiratorio",4
"Espírito Santo","Influenza B",2
Bahia,"Coronavirus SARS-CoV2",18
Bahia,"Influenza A",3
Bahia,"Influenza B",1
Bahia,Metapneumovirus,1
Bahia,Rinovirus,1
"Paraná","Coronavirus SARS-CoV2",12
"Paraná",Rinovirus,2
"Paraná","Virus Sincicial Respiratorio",2
"Pará","Coronavirus SARS-CoV2",15
"Pará","Influenza A",1
"Maranhão","Coronavirus SARS-CoV2",15
"Amapá","Coronavirus SARS-CoV2",11
"Santa Catarina","Coronavirus SARS-CoV2",10
"Goiás",Metapneumovirus,4
"Goiás","Virus Sincicial Respiratorio",3
"Goiás","Coronavirus SARS-CoV2",1
"Goiás","Influenza B",1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",4
"Mato Grosso do Sul","Influenza A",2
"Mato Grosso do Sul","Influenza B",1
"Mato Grosso do Sul",Metapneumovirus,1
"Minas Gerais","Coronavirus SARS-CoV2",5
"Minas Gerais","Influenza B",1
"Rio Grande do Norte","Coronavirus SARS-CoV2",5
"Rio Grande do Norte","Influenza B",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",6
"Piauí",Metapneumovirus,4
"Piauí","Virus Sincicial Respiratorio",1
"Mato Grosso","Coronavirus SARS-CoV2",4
Roraima,"Coronavirus SARS-CoV2",2
Roraima,"Virus Sincicial Respiratorio",2
Acre,"Coronavirus SARS-CoV2",3
Sergipe,"Coronavirus SARS-CoV2",3
Alagoas,"Coronavirus SARS-CoV2",2
"Paraíba","Coronavirus SARS-CoV2",1
