"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.422"
"Paraná","Coronavirus SARS-CoV2","1.149"
"Paraná",Adenovirus,2
Bahia,"Coronavirus SARS-CoV2",795
Sergipe,"Coronavirus SARS-CoV2",636
"Espírito Santo","Coronavirus SARS-CoV2",605
"Rio de Janeiro","Coronavirus SARS-CoV2",345
"Rondônia","Coronavirus SARS-CoV2",339
"Mato Grosso","Coronavirus SARS-CoV2",312
"Santa Catarina","Coronavirus SARS-CoV2",290
"Rio Grande do Norte","Coronavirus SARS-CoV2",280
"Minas Gerais","Coronavirus SARS-CoV2",272
"Rio Grande do Sul","Coronavirus SARS-CoV2",251
"Ceará","Coronavirus SARS-CoV2",241
Pernambuco,"Coronavirus SARS-CoV2",234
"Piauí","Coronavirus SARS-CoV2",227
"Mato Grosso do Sul","Coronavirus SARS-CoV2",154
"Mato Grosso do Sul",Adenovirus,1
Roraima,"Coronavirus SARS-CoV2",125
Acre,"Coronavirus SARS-CoV2",115
"Goiás","Coronavirus SARS-CoV2",115
"Amapá","Coronavirus SARS-CoV2",111
"Pará","Coronavirus SARS-CoV2",109
"Paraíba","Coronavirus SARS-CoV2",96
Tocantins,"Coronavirus SARS-CoV2",89
Alagoas,"Coronavirus SARS-CoV2",67
"Maranhão","Coronavirus SARS-CoV2",63
Amazonas,"Coronavirus SARS-CoV2",29
