"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.642"
"Paraná","Coronavirus SARS-CoV2","1.428"
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",649
"Mato Grosso","Coronavirus SARS-CoV2",600
"Espírito Santo","Coronavirus SARS-CoV2",496
Sergipe,"Coronavirus SARS-CoV2",443
"Minas Gerais","Coronavirus SARS-CoV2",402
"Santa Catarina","Coronavirus SARS-CoV2",366
"Rio Grande do Sul","Coronavirus SARS-CoV2",346
"Piauí","Coronavirus SARS-CoV2",258
"Rio de Janeiro","Coronavirus SARS-CoV2",236
"Rio Grande do Norte","Coronavirus SARS-CoV2",234
"Rondônia","Coronavirus SARS-CoV2",206
"Ceará","Coronavirus SARS-CoV2",203
"Mato Grosso do Sul","Coronavirus SARS-CoV2",184
Tocantins,"Coronavirus SARS-CoV2",181
"Goiás","Coronavirus SARS-CoV2",178
Roraima,"Coronavirus SARS-CoV2",161
Acre,"Coronavirus SARS-CoV2",129
"Pará","Coronavirus SARS-CoV2",114
Pernambuco,"Coronavirus SARS-CoV2",93
"Paraíba","Coronavirus SARS-CoV2",61
Amazonas,"Coronavirus SARS-CoV2",56
Alagoas,"Coronavirus SARS-CoV2",47
"Amapá","Coronavirus SARS-CoV2",46
"Maranhão","Coronavirus SARS-CoV2",46
"Distrito Federal","Coronavirus SARS-CoV2",2
