"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",861
"Paraná","Coronavirus SARS-CoV2",647
"Paraná",Rinovirus,3
Bahia,"Coronavirus SARS-CoV2",222
Bahia,Rinovirus,3
"Rio Grande do Sul","Coronavirus SARS-CoV2",223
"Minas Gerais","Coronavirus SARS-CoV2",189
"Mato Grosso do Sul","Coronavirus SARS-CoV2",179
"Mato Grosso do Sul",Adenovirus,1
"Rio de Janeiro","Coronavirus SARS-CoV2",124
"Santa Catarina","Coronavirus SARS-CoV2",119
Tocantins,"Coronavirus SARS-CoV2",111
"Piauí","Coronavirus SARS-CoV2",93
"Ceará","Coronavirus SARS-CoV2",87
"Espírito Santo","Coronavirus SARS-CoV2",69
"Rondônia","Coronavirus SARS-CoV2",56
"Rio Grande do Norte","Coronavirus SARS-CoV2",49
"Goiás","Coronavirus SARS-CoV2",44
Pernambuco,"Coronavirus SARS-CoV2",41
Sergipe,"Coronavirus SARS-CoV2",32
"Paraíba","Coronavirus SARS-CoV2",31
"Pará","Coronavirus SARS-CoV2",30
"Maranhão","Coronavirus SARS-CoV2",9
Acre,"Coronavirus SARS-CoV2",8
Alagoas,"Coronavirus SARS-CoV2",6
Amazonas,"Coronavirus SARS-CoV2",3
Amazonas,"Virus Sincicial Respiratorio",1
"Amapá","Coronavirus SARS-CoV2",3
Roraima,"Coronavirus SARS-CoV2",2
"Mato Grosso","Coronavirus SARS-CoV2",1
