"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.191"
"Paraná","Coronavirus SARS-CoV2",535
"Paraná",Rinovirus,2
"Rio Grande do Sul","Coronavirus SARS-CoV2",324
Bahia,"Coronavirus SARS-CoV2",317
"Santa Catarina","Coronavirus SARS-CoV2",231
"Espírito Santo","Coronavirus SARS-CoV2",201
"Minas Gerais","Coronavirus SARS-CoV2",164
"Mato Grosso do Sul","Coronavirus SARS-CoV2",148
Tocantins,"Coronavirus SARS-CoV2",119
"Ceará","Coronavirus SARS-CoV2",107
"Rio de Janeiro","Coronavirus SARS-CoV2",107
"Rondônia","Coronavirus SARS-CoV2",105
"Goiás","Coronavirus SARS-CoV2",91
Sergipe,"Coronavirus SARS-CoV2",76
Pernambuco,"Coronavirus SARS-CoV2",65
"Rio Grande do Norte","Coronavirus SARS-CoV2",65
"Paraíba","Coronavirus SARS-CoV2",46
Acre,"Coronavirus SARS-CoV2",34
"Piauí","Coronavirus SARS-CoV2",24
"Pará","Coronavirus SARS-CoV2",20
"Maranhão","Coronavirus SARS-CoV2",16
Alagoas,"Coronavirus SARS-CoV2",8
Amazonas,"Coronavirus SARS-CoV2",4
Roraima,"Coronavirus SARS-CoV2",4
"Distrito Federal","Coronavirus SARS-CoV2",3
"Amapá","Coronavirus SARS-CoV2",2
