"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.493"
"Paraná","Coronavirus SARS-CoV2","1.578"
"Paraná",Rinovirus,5
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",980
Bahia,Rinovirus,2
"Goiás","Coronavirus SARS-CoV2",485
"Minas Gerais","Coronavirus SARS-CoV2",483
"Rio Grande do Sul","Coronavirus SARS-CoV2",455
"Rio de Janeiro","Coronavirus SARS-CoV2",383
"Ceará","Coronavirus SARS-CoV2",368
"Santa Catarina","Coronavirus SARS-CoV2",356
"Mato Grosso do Sul","Coronavirus SARS-CoV2",354
Pernambuco,"Coronavirus SARS-CoV2",350
Tocantins,"Coronavirus SARS-CoV2",335
"Espírito Santo","Coronavirus SARS-CoV2",301
"Rondônia","Coronavirus SARS-CoV2",267
"Rio Grande do Norte","Coronavirus SARS-CoV2",216
Sergipe,"Coronavirus SARS-CoV2",133
"Piauí","Coronavirus SARS-CoV2",106
Amazonas,"Coronavirus SARS-CoV2",84
"Pará","Coronavirus SARS-CoV2",77
"Paraíba","Coronavirus SARS-CoV2",63
Acre,"Coronavirus SARS-CoV2",28
"Maranhão","Coronavirus SARS-CoV2",27
"Mato Grosso","Coronavirus SARS-CoV2",20
Roraima,"Coronavirus SARS-CoV2",11
"Distrito Federal","Coronavirus SARS-CoV2",10
"Amapá","Coronavirus SARS-CoV2",8
Alagoas,"Coronavirus SARS-CoV2",2
