"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.877"
"Paraná","Coronavirus SARS-CoV2","1.780"
Bahia,"Coronavirus SARS-CoV2",942
Sergipe,"Coronavirus SARS-CoV2",811
"Santa Catarina","Coronavirus SARS-CoV2",628
"Espírito Santo","Coronavirus SARS-CoV2",473
Pernambuco,"Coronavirus SARS-CoV2",446
"Rio Grande do Sul","Coronavirus SARS-CoV2",430
"Minas Gerais","Coronavirus SARS-CoV2",428
"Rio Grande do Norte","Coronavirus SARS-CoV2",312
Tocantins,"Coronavirus SARS-CoV2",281
"Ceará","Coronavirus SARS-CoV2",259
"Rio de Janeiro","Coronavirus SARS-CoV2",252
"Mato Grosso do Sul","Coronavirus SARS-CoV2",242
"Rondônia","Coronavirus SARS-CoV2",218
"Piauí","Coronavirus SARS-CoV2",191
"Goiás","Coronavirus SARS-CoV2",134
Acre,"Coronavirus SARS-CoV2",105
"Paraíba","Coronavirus SARS-CoV2",91
Roraima,"Coronavirus SARS-CoV2",89
"Pará","Coronavirus SARS-CoV2",72
Amazonas,"Coronavirus SARS-CoV2",55
"Maranhão","Coronavirus SARS-CoV2",53
Alagoas,"Coronavirus SARS-CoV2",42
"Amapá","Coronavirus SARS-CoV2",33
"Mato Grosso","Coronavirus SARS-CoV2",5
"Distrito Federal","Coronavirus SARS-CoV2",4
