"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",614
Pernambuco,"Coronavirus SARS-CoV2",488
Pernambuco,"Influenza A",2
"São Paulo","Coronavirus SARS-CoV2",376
"São Paulo","Influenza B",1
Amazonas,"Coronavirus SARS-CoV2",279
Amazonas,"Coronavirus 229E",1
"Ceará","Coronavirus SARS-CoV2",247
"Pará","Coronavirus SARS-CoV2",172
"Maranhão","Coronavirus SARS-CoV2",149
"Espírito Santo","Coronavirus SARS-CoV2",114
Bahia,"Coronavirus SARS-CoV2",90
Bahia,"Influenza B",1
"Amapá","Coronavirus SARS-CoV2",80
"Paraná","Coronavirus SARS-CoV2",45
"Paraná",Rinovirus,8
"Paraná",Adenovirus,1
"Paraná","Influenza A",1
"Paraná",Metapneumovirus,1
"Rio Grande do Norte","Coronavirus SARS-CoV2",34
Alagoas,"Coronavirus SARS-CoV2",26
"Piauí","Coronavirus SARS-CoV2",18
"Piauí","Virus Sincicial Respiratorio",2
"Paraíba","Coronavirus SARS-CoV2",19
Sergipe,"Coronavirus SARS-CoV2",13
Sergipe,"Influenza A",4
Sergipe,"Influenza B",2
"Rio Grande do Sul","Coronavirus SARS-CoV2",18
Roraima,"Coronavirus SARS-CoV2",18
"Minas Gerais","Coronavirus SARS-CoV2",16
"Santa Catarina","Coronavirus SARS-CoV2",15
"Santa Catarina",Adenovirus,1
Acre,"Coronavirus SARS-CoV2",15
"Rondônia","Coronavirus SARS-CoV2",14
"Goiás","Coronavirus SARS-CoV2",4
"Goiás","Virus Sincicial Respiratorio",2
"Goiás",Adenovirus,1
"Goiás",Metapneumovirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",6
"Mato Grosso do Sul","Influenza A",2
"Mato Grosso","Coronavirus SARS-CoV2",4
Tocantins,"Influenza B",2
"Distrito Federal","Coronavirus SARS-CoV2",1
