"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",191
"Rio de Janeiro","Coronavirus SARS-CoV2",142
Pernambuco,"Coronavirus SARS-CoV2",128
Pernambuco,"Influenza A",1
Pernambuco,"Virus Sincicial Respiratorio",1
"Ceará","Coronavirus SARS-CoV2",114
"Maranhão","Coronavirus SARS-CoV2",63
"Pará","Coronavirus SARS-CoV2",51
"Pará","Influenza A",1
"Espírito Santo","Coronavirus SARS-CoV2",49
"Espírito Santo","Virus Sincicial Respiratorio",2
"Amapá","Coronavirus SARS-CoV2",39
Roraima,"Coronavirus SARS-CoV2",25
Roraima,"Virus Sincicial Respiratorio",7
Bahia,"Coronavirus SARS-CoV2",28
"Paraná","Coronavirus SARS-CoV2",13
"Paraná",Rinovirus,3
"Paraná",Adenovirus,1
"Paraná","Influenza B",1
"Santa Catarina","Coronavirus SARS-CoV2",13
"Rio Grande do Sul","Coronavirus SARS-CoV2",11
"Rio Grande do Sul","Influenza B",1
Alagoas,"Coronavirus SARS-CoV2",8
"Paraíba","Coronavirus SARS-CoV2",8
"Minas Gerais","Coronavirus SARS-CoV2",6
"Minas Gerais","Virus Sincicial Respiratorio",1
"Piauí","Coronavirus SARS-CoV2",2
"Piauí","Influenza A",2
"Piauí",Metapneumovirus,2
"Rio Grande do Norte","Coronavirus SARS-CoV2",6
"Goiás","Coronavirus SARS-CoV2",2
"Goiás","Influenza B",1
"Goiás",Metapneumovirus,1
"Rondônia","Coronavirus SARS-CoV2",2
"Rondônia","Influenza B",2
Acre,"Coronavirus SARS-CoV2",3
"Mato Grosso do Sul","Virus Sincicial Respiratorio",2
