"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.620"
"Paraná","Coronavirus SARS-CoV2","1.578"
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2",791
"Santa Catarina","Coronavirus SARS-CoV2",683
"Rio Grande do Sul","Coronavirus SARS-CoV2",608
Tocantins,"Coronavirus SARS-CoV2",506
Pernambuco,"Coronavirus SARS-CoV2",460
"Rondônia","Coronavirus SARS-CoV2",387
"Mato Grosso do Sul","Coronavirus SARS-CoV2",352
"Minas Gerais","Coronavirus SARS-CoV2",342
"Ceará","Coronavirus SARS-CoV2",321
"Espírito Santo","Coronavirus SARS-CoV2",318
"Rio de Janeiro","Coronavirus SARS-CoV2",305
"Rio Grande do Norte","Coronavirus SARS-CoV2",272
"Goiás","Coronavirus SARS-CoV2",200
Sergipe,"Coronavirus SARS-CoV2",197
"Piauí","Coronavirus SARS-CoV2",71
Acre,"Coronavirus SARS-CoV2",63
"Pará","Coronavirus SARS-CoV2",61
"Paraíba","Coronavirus SARS-CoV2",46
Amazonas,"Coronavirus SARS-CoV2",23
Alagoas,"Coronavirus SARS-CoV2",18
"Maranhão","Coronavirus SARS-CoV2",18
Roraima,"Coronavirus SARS-CoV2",16
"Amapá","Coronavirus SARS-CoV2",14
"Distrito Federal","Coronavirus SARS-CoV2",6
"Mato Grosso","Coronavirus SARS-CoV2",2
