"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",767
"Paraná","Coronavirus SARS-CoV2",502
"Paraná",Rinovirus,1
"Rio de Janeiro","Coronavirus SARS-CoV2",184
"Espírito Santo","Coronavirus SARS-CoV2",179
Bahia,"Coronavirus SARS-CoV2",169
Bahia,Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",165
"Minas Gerais","Coronavirus SARS-CoV2",157
"Minas Gerais",Bocavirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",156
"Ceará","Coronavirus SARS-CoV2",90
"Santa Catarina","Coronavirus SARS-CoV2",88
"Piauí","Coronavirus SARS-CoV2",59
"Rio Grande do Norte","Coronavirus SARS-CoV2",55
Tocantins,"Coronavirus SARS-CoV2",55
"Goiás","Coronavirus SARS-CoV2",44
Sergipe,"Coronavirus SARS-CoV2",34
Pernambuco,"Coronavirus SARS-CoV2",31
"Paraíba","Coronavirus SARS-CoV2",20
"Pará","Coronavirus SARS-CoV2",15
Amazonas,"Coronavirus SARS-CoV2",14
"Rondônia","Coronavirus SARS-CoV2",14
Acre,"Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",3
"Maranhão","Coronavirus SARS-CoV2",3
Alagoas,"Coronavirus SARS-CoV2",2
"Mato Grosso","Coronavirus SARS-CoV2",1
