"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.454"
"Paraná","Coronavirus SARS-CoV2","2.288"
"Paraná",Rinovirus,8
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2","1.219"
Bahia,Rinovirus,2
"Rio Grande do Sul","Coronavirus SARS-CoV2",667
Tocantins,"Coronavirus SARS-CoV2",594
"Santa Catarina","Coronavirus SARS-CoV2",544
"Goiás","Coronavirus SARS-CoV2",516
"Rio de Janeiro","Coronavirus SARS-CoV2",505
"Mato Grosso do Sul","Coronavirus SARS-CoV2",461
"Minas Gerais","Coronavirus SARS-CoV2",408
"Ceará","Coronavirus SARS-CoV2",388
"Rondônia","Coronavirus SARS-CoV2",359
"Espírito Santo","Coronavirus SARS-CoV2",345
Pernambuco,"Coronavirus SARS-CoV2",309
Sergipe,"Coronavirus SARS-CoV2",227
"Rio Grande do Norte","Coronavirus SARS-CoV2",195
"Piauí","Coronavirus SARS-CoV2",145
"Pará","Coronavirus SARS-CoV2",82
"Pará",Rinovirus,3
Acre,"Coronavirus SARS-CoV2",56
"Paraíba","Coronavirus SARS-CoV2",51
Amazonas,"Coronavirus SARS-CoV2",46
Amazonas,"Virus Sincicial Respiratorio",1
"Maranhão","Coronavirus SARS-CoV2",38
Roraima,"Coronavirus SARS-CoV2",20
Alagoas,"Coronavirus SARS-CoV2",19
"Distrito Federal","Coronavirus SARS-CoV2",15
"Mato Grosso","Coronavirus SARS-CoV2",15
"Amapá","Coronavirus SARS-CoV2",12
