"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",869
"Paraná","Coronavirus SARS-CoV2",732
"Paraná",Rinovirus,3
"Espírito Santo","Coronavirus SARS-CoV2",203
Bahia,"Coronavirus SARS-CoV2",201
Bahia,Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",192
"Rio de Janeiro","Coronavirus SARS-CoV2",149
"Minas Gerais","Coronavirus SARS-CoV2",130
"Piauí","Coronavirus SARS-CoV2",127
"Ceará","Coronavirus SARS-CoV2",126
"Mato Grosso do Sul","Coronavirus SARS-CoV2",119
"Santa Catarina","Coronavirus SARS-CoV2",105
Tocantins,"Coronavirus SARS-CoV2",55
"Goiás","Coronavirus SARS-CoV2",54
Pernambuco,"Coronavirus SARS-CoV2",46
"Rio Grande do Norte","Coronavirus SARS-CoV2",34
Sergipe,"Coronavirus SARS-CoV2",27
"Rondônia","Coronavirus SARS-CoV2",22
Amazonas,"Coronavirus SARS-CoV2",17
"Paraíba","Coronavirus SARS-CoV2",15
"Maranhão","Coronavirus SARS-CoV2",13
"Pará","Coronavirus SARS-CoV2",13
Roraima,"Coronavirus SARS-CoV2",9
Alagoas,"Coronavirus SARS-CoV2",6
Acre,"Coronavirus SARS-CoV2",5
"Distrito Federal","Coronavirus SARS-CoV2",2
"Amapá","Coronavirus SARS-CoV2",1
"Mato Grosso","Coronavirus SARS-CoV2",1
