"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.276"
"Paraná","Coronavirus SARS-CoV2","1.797"
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2",914
Bahia,Rinovirus,3
Bahia,Adenovirus,1
Bahia,"Influenza B",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",546
"Mato Grosso do Sul","Coronavirus SARS-CoV2",466
Tocantins,"Coronavirus SARS-CoV2",450
"Minas Gerais","Coronavirus SARS-CoV2",429
"Rio de Janeiro","Coronavirus SARS-CoV2",376
"Santa Catarina","Coronavirus SARS-CoV2",356
"Rondônia","Coronavirus SARS-CoV2",345
"Goiás","Coronavirus SARS-CoV2",340
"Ceará","Coronavirus SARS-CoV2",318
Pernambuco,"Coronavirus SARS-CoV2",289
"Piauí","Coronavirus SARS-CoV2",221
"Espírito Santo","Coronavirus SARS-CoV2",217
"Rio Grande do Norte","Coronavirus SARS-CoV2",179
Sergipe,"Coronavirus SARS-CoV2",137
"Pará","Coronavirus SARS-CoV2",70
"Maranhão","Coronavirus SARS-CoV2",47
"Paraíba","Coronavirus SARS-CoV2",46
Amazonas,"Coronavirus SARS-CoV2",43
Acre,"Coronavirus SARS-CoV2",22
Roraima,"Coronavirus SARS-CoV2",20
Alagoas,"Coronavirus SARS-CoV2",14
"Mato Grosso","Coronavirus SARS-CoV2",14
"Amapá","Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",6
