"UF de residência","Vírus","Nº de vírus identificados"
"Paraná","Parainfluenza tipo 3",3
"Paraná","Coronavirus SARS-CoV2",1
"Paraná",Metapneumovirus,1
"Paraná",Rinovirus,1
Amazonas,"Influenza B",2
Amazonas,"Virus Sincicial Respiratorio",1
"Rio de Janeiro","Influenza B",2
"Rio de Janeiro",Adenovirus,1
Bahia,Adenovirus,2
"Minas Gerais","Parainfluenza tipo 3",2
Pernambuco,"Influenza B",1
Pernambuco,Metapneumovirus,1
"Santa Catarina","Influenza A",2
"São Paulo","Influenza A",1
"São Paulo","Influenza B",1
"Espírito Santo","Influenza B",1
"Goiás",Adenovirus,1
"Piauí","Parainfluenza tipo 1",1
"Rio Grande do Sul","Influenza B",1
