"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.116"
"Paraná","Coronavirus SARS-CoV2",934
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",596
"Espírito Santo","Coronavirus SARS-CoV2",542
Pernambuco,"Coronavirus SARS-CoV2",347
Sergipe,"Coronavirus SARS-CoV2",342
"Rondônia","Coronavirus SARS-CoV2",325
"Rio Grande do Norte","Coronavirus SARS-CoV2",297
"Rio de Janeiro","Coronavirus SARS-CoV2",266
"Santa Catarina","Coronavirus SARS-CoV2",234
"Ceará","Coronavirus SARS-CoV2",221
"Minas Gerais","Coronavirus SARS-CoV2",218
Tocantins,"Coronavirus SARS-CoV2",210
"Mato Grosso","Coronavirus SARS-CoV2",189
"Piauí","Coronavirus SARS-CoV2",173
"Rio Grande do Sul","Coronavirus SARS-CoV2",171
Roraima,"Coronavirus SARS-CoV2",149
"Mato Grosso do Sul","Coronavirus SARS-CoV2",135
"Mato Grosso do Sul",Metapneumovirus,1
"Pará","Coronavirus SARS-CoV2",136
Acre,"Coronavirus SARS-CoV2",134
"Amapá","Coronavirus SARS-CoV2",119
"Paraíba","Coronavirus SARS-CoV2",105
"Goiás","Coronavirus SARS-CoV2",89
Alagoas,"Coronavirus SARS-CoV2",52
Amazonas,"Coronavirus SARS-CoV2",49
"Maranhão","Coronavirus SARS-CoV2",46
"Distrito Federal","Coronavirus SARS-CoV2",2
