"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",837
Pernambuco,"Coronavirus SARS-CoV2",599
Pernambuco,"Influenza A",1
Pernambuco,"Influenza B",1
"São Paulo","Coronavirus SARS-CoV2",441
"Ceará","Coronavirus SARS-CoV2",377
"Maranhão","Coronavirus SARS-CoV2",269
Amazonas,"Coronavirus SARS-CoV2",230
"Pará","Coronavirus SARS-CoV2",229
Bahia,"Coronavirus SARS-CoV2",167
"Amapá","Coronavirus SARS-CoV2",154
"Espírito Santo","Coronavirus SARS-CoV2",121
Alagoas,"Coronavirus SARS-CoV2",76
"Rio Grande do Norte","Coronavirus SARS-CoV2",49
"Rio Grande do Sul","Coronavirus SARS-CoV2",40
"Paraíba","Coronavirus SARS-CoV2",39
Roraima,"Coronavirus SARS-CoV2",34
Roraima,"Virus Sincicial Respiratorio",4
Roraima,"Influenza A",1
"Paraná","Coronavirus SARS-CoV2",36
"Paraná",Rinovirus,2
"Santa Catarina","Coronavirus SARS-CoV2",38
Acre,"Coronavirus SARS-CoV2",37
"Rondônia","Coronavirus SARS-CoV2",34
"Rondônia","Influenza B",1
Sergipe,"Coronavirus SARS-CoV2",25
Sergipe,Adenovirus,1
Sergipe,"Influenza B",1
"Piauí","Coronavirus SARS-CoV2",18
"Piauí",Metapneumovirus,1
"Minas Gerais","Coronavirus SARS-CoV2",16
"Minas Gerais","Influenza B",1
"Goiás","Coronavirus SARS-CoV2",7
"Goiás",Metapneumovirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",7
"Mato Grosso do Sul","Influenza A",1
"Mato Grosso","Coronavirus SARS-CoV2",2
Tocantins,"Coronavirus SARS-CoV2",1
Tocantins,"Influenza B",1
