"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.009"
"Paraná","Coronavirus SARS-CoV2","1.079"
"Paraná",Rinovirus,5
Bahia,"Coronavirus SARS-CoV2",773
Bahia,Rinovirus,2
"Rio Grande do Sul","Coronavirus SARS-CoV2",527
"Rio de Janeiro","Coronavirus SARS-CoV2",492
"Rio de Janeiro","Virus Sincicial Respiratorio",1
"Espírito Santo","Coronavirus SARS-CoV2",484
"Minas Gerais","Coronavirus SARS-CoV2",468
"Ceará","Coronavirus SARS-CoV2",388
"Santa Catarina","Coronavirus SARS-CoV2",322
"Mato Grosso do Sul","Coronavirus SARS-CoV2",264
Pernambuco,"Coronavirus SARS-CoV2",241
"Piauí","Coronavirus SARS-CoV2",205
"Goiás","Coronavirus SARS-CoV2",171
Sergipe,"Coronavirus SARS-CoV2",154
Tocantins,"Coronavirus SARS-CoV2",136
"Rio Grande do Norte","Coronavirus SARS-CoV2",112
"Rondônia","Coronavirus SARS-CoV2",104
"Mato Grosso","Coronavirus SARS-CoV2",81
Amazonas,"Coronavirus SARS-CoV2",65
"Paraíba","Coronavirus SARS-CoV2",62
"Pará","Coronavirus SARS-CoV2",34
Acre,"Coronavirus SARS-CoV2",27
Roraima,"Coronavirus SARS-CoV2",21
"Maranhão","Coronavirus SARS-CoV2",19
Alagoas,"Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",5
