"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.078"
"São Paulo","Influenza B",1
"Paraná","Coronavirus SARS-CoV2",667
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",605
"Espírito Santo","Coronavirus SARS-CoV2",539
"Rondônia","Coronavirus SARS-CoV2",427
Sergipe,"Coronavirus SARS-CoV2",310
Pernambuco,"Coronavirus SARS-CoV2",283
"Rio Grande do Norte","Coronavirus SARS-CoV2",261
"Rio de Janeiro","Coronavirus SARS-CoV2",251
"Piauí","Coronavirus SARS-CoV2",217
"Mato Grosso","Coronavirus SARS-CoV2",212
"Santa Catarina","Coronavirus SARS-CoV2",210
Tocantins,"Coronavirus SARS-CoV2",203
"Ceará","Coronavirus SARS-CoV2",199
Roraima,"Coronavirus SARS-CoV2",171
"Amapá","Coronavirus SARS-CoV2",170
"Rio Grande do Sul","Coronavirus SARS-CoV2",170
"Minas Gerais","Coronavirus SARS-CoV2",164
"Mato Grosso do Sul","Coronavirus SARS-CoV2",115
"Paraíba","Coronavirus SARS-CoV2",109
"Pará","Coronavirus SARS-CoV2",107
Acre,"Coronavirus SARS-CoV2",93
"Goiás","Coronavirus SARS-CoV2",91
Alagoas,"Coronavirus SARS-CoV2",61
"Maranhão","Coronavirus SARS-CoV2",60
Amazonas,"Coronavirus SARS-CoV2",39
"Distrito Federal","Coronavirus SARS-CoV2",3
