"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",963
"Paraná","Coronavirus SARS-CoV2",557
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",409
Sergipe,"Coronavirus SARS-CoV2",302
"Minas Gerais","Coronavirus SARS-CoV2",262
"Espírito Santo","Coronavirus SARS-CoV2",215
"Rio Grande do Sul","Coronavirus SARS-CoV2",202
"Santa Catarina","Coronavirus SARS-CoV2",188
Pernambuco,"Coronavirus SARS-CoV2",136
"Rio de Janeiro","Coronavirus SARS-CoV2",128
"Mato Grosso do Sul","Coronavirus SARS-CoV2",125
"Mato Grosso","Coronavirus SARS-CoV2",96
"Goiás","Coronavirus SARS-CoV2",89
Acre,"Coronavirus SARS-CoV2",73
"Piauí","Coronavirus SARS-CoV2",73
"Rio Grande do Norte","Coronavirus SARS-CoV2",70
Tocantins,"Coronavirus SARS-CoV2",62
"Ceará","Coronavirus SARS-CoV2",55
"Paraíba","Coronavirus SARS-CoV2",48
"Rondônia","Coronavirus SARS-CoV2",41
Amazonas,"Coronavirus SARS-CoV2",22
Amazonas,"Parainfluenza tipo 3",1
Amazonas,"Virus Sincicial Respiratorio",1
"Pará","Coronavirus SARS-CoV2",23
"Amapá","Coronavirus SARS-CoV2",15
Alagoas,"Coronavirus SARS-CoV2",14
Roraima,"Coronavirus SARS-CoV2",13
"Maranhão","Coronavirus SARS-CoV2",10
