"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.881"
"Paraná","Coronavirus SARS-CoV2","1.575"
"Paraná",Rinovirus,3
Bahia,"Coronavirus SARS-CoV2","1.030"
"Santa Catarina","Coronavirus SARS-CoV2",653
Pernambuco,"Coronavirus SARS-CoV2",558
"Rio Grande do Sul","Coronavirus SARS-CoV2",476
"Rondônia","Coronavirus SARS-CoV2",440
"Minas Gerais","Coronavirus SARS-CoV2",411
"Mato Grosso do Sul","Coronavirus SARS-CoV2",396
"Espírito Santo","Coronavirus SARS-CoV2",389
Tocantins,"Coronavirus SARS-CoV2",373
"Ceará","Coronavirus SARS-CoV2",344
"Rio de Janeiro","Coronavirus SARS-CoV2",342
"Rio Grande do Norte","Coronavirus SARS-CoV2",289
"Goiás","Coronavirus SARS-CoV2",284
Sergipe,"Coronavirus SARS-CoV2",277
"Piauí","Coronavirus SARS-CoV2",105
"Paraíba","Coronavirus SARS-CoV2",98
Acre,"Coronavirus SARS-CoV2",85
"Pará","Coronavirus SARS-CoV2",81
"Pará",Rinovirus,3
Amazonas,"Coronavirus SARS-CoV2",51
"Maranhão","Coronavirus SARS-CoV2",41
Alagoas,"Coronavirus SARS-CoV2",38
Roraima,"Coronavirus SARS-CoV2",29
"Amapá","Coronavirus SARS-CoV2",12
"Distrito Federal","Coronavirus SARS-CoV2",5
"Mato Grosso","Coronavirus SARS-CoV2",5
