"UF de residência","Vírus","Nº de vírus identificados"
"Ceará","Coronavirus SARS-CoV2",440
"Amapá","Coronavirus SARS-CoV2",339
"Rio de Janeiro","Coronavirus SARS-CoV2",264
Alagoas,"Coronavirus SARS-CoV2",236
Pernambuco,"Coronavirus SARS-CoV2",233
Pernambuco,"Virus Sincicial Respiratorio",1
Sergipe,"Coronavirus SARS-CoV2",223
"Espírito Santo","Coronavirus SARS-CoV2",220
"São Paulo","Coronavirus SARS-CoV2",219
"Pará","Coronavirus SARS-CoV2",183
Bahia,"Coronavirus SARS-CoV2",170
Acre,"Coronavirus SARS-CoV2",123
"Paraíba","Coronavirus SARS-CoV2",103
"Maranhão","Coronavirus SARS-CoV2",96
"Rondônia","Coronavirus SARS-CoV2",80
"Rio Grande do Norte","Coronavirus SARS-CoV2",68
Tocantins,"Coronavirus SARS-CoV2",52
"Santa Catarina","Coronavirus SARS-CoV2",43
"Piauí","Coronavirus SARS-CoV2",30
"Piauí",Rinovirus,2
"Piauí",Adenovirus,1
Roraima,"Coronavirus SARS-CoV2",29
"Paraná","Coronavirus SARS-CoV2",26
"Paraná",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",22
"Minas Gerais","Coronavirus SARS-CoV2",19
"Goiás","Coronavirus SARS-CoV2",9
"Goiás",Rinovirus,1
Amazonas,"Coronavirus SARS-CoV2",5
"Mato Grosso do Sul",Adenovirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",1
"Distrito Federal","Coronavirus SARS-CoV2",1
"Mato Grosso","Coronavirus SARS-CoV2",1
