"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.990"
"Paraná","Coronavirus SARS-CoV2","1.629"
"Paraná",Rinovirus,4
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",850
Bahia,Rinovirus,5
Bahia,"Virus Sincicial Respiratorio",1
"Rio de Janeiro","Coronavirus SARS-CoV2",524
"Rio Grande do Sul","Coronavirus SARS-CoV2",514
"Minas Gerais","Coronavirus SARS-CoV2",437
Tocantins,"Coronavirus SARS-CoV2",390
"Mato Grosso do Sul","Coronavirus SARS-CoV2",344
"Ceará","Coronavirus SARS-CoV2",326
"Santa Catarina","Coronavirus SARS-CoV2",289
Pernambuco,"Coronavirus SARS-CoV2",248
"Espírito Santo","Coronavirus SARS-CoV2",241
"Rio Grande do Norte","Coronavirus SARS-CoV2",179
"Goiás","Coronavirus SARS-CoV2",172
"Rondônia","Coronavirus SARS-CoV2",155
"Piauí","Coronavirus SARS-CoV2",138
Sergipe,"Coronavirus SARS-CoV2",81
"Pará","Coronavirus SARS-CoV2",79
"Paraíba","Coronavirus SARS-CoV2",55
Amazonas,"Coronavirus SARS-CoV2",48
"Mato Grosso","Coronavirus SARS-CoV2",34
Roraima,"Coronavirus SARS-CoV2",31
"Maranhão","Coronavirus SARS-CoV2",30
Acre,"Coronavirus SARS-CoV2",27
Alagoas,"Coronavirus SARS-CoV2",9
"Distrito Federal","Coronavirus SARS-CoV2",3
