"UF de residência","Vírus","Nº de vírus identificados"
Pernambuco,"Coronavirus SARS-CoV2",701
"Ceará","Coronavirus SARS-CoV2",592
"Rio de Janeiro","Coronavirus SARS-CoV2",520
Bahia,"Coronavirus SARS-CoV2",455
"Espírito Santo","Coronavirus SARS-CoV2",403
"São Paulo","Coronavirus SARS-CoV2",378
"São Paulo","Influenza A",1
"São Paulo","Parainfluenza ""3""",1
"Amapá","Coronavirus SARS-CoV2",375
Sergipe,"Coronavirus SARS-CoV2",312
Amazonas,"Coronavirus SARS-CoV2",240
Alagoas,"Coronavirus SARS-CoV2",229
"Pará","Coronavirus SARS-CoV2",229
Acre,"Coronavirus SARS-CoV2",217
"Paraíba","Coronavirus SARS-CoV2",171
"Rio Grande do Norte","Coronavirus SARS-CoV2",153
"Rondônia","Coronavirus SARS-CoV2",134
"Rondônia","Influenza A",1
Roraima,"Coronavirus SARS-CoV2",133
"Santa Catarina","Coronavirus SARS-CoV2",127
"Paraná","Coronavirus SARS-CoV2",125
"Maranhão","Coronavirus SARS-CoV2",123
Tocantins,"Coronavirus SARS-CoV2",119
"Mato Grosso do Sul","Coronavirus SARS-CoV2",73
"Piauí","Coronavirus SARS-CoV2",58
"Minas Gerais","Coronavirus SARS-CoV2",49
"Rio Grande do Sul","Coronavirus SARS-CoV2",42
"Mato Grosso","Coronavirus SARS-CoV2",29
"Goiás","Coronavirus SARS-CoV2",27
"Goiás",Metapneumovirus,1
"Distrito Federal","Coronavirus SARS-CoV2",1
