"UF de residência","Vírus","Nº de vírus identificados"
"Ceará","Coronavirus SARS-CoV2",333
"Espírito Santo","Coronavirus SARS-CoV2",306
"Amapá","Coronavirus SARS-CoV2",303
Bahia,"Coronavirus SARS-CoV2",299
"São Paulo","Coronavirus SARS-CoV2",284
Pernambuco,"Coronavirus SARS-CoV2",267
"Rio de Janeiro","Coronavirus SARS-CoV2",235
Alagoas,"Coronavirus SARS-CoV2",161
Acre,"Coronavirus SARS-CoV2",159
Sergipe,"Coronavirus SARS-CoV2",144
"Pará","Coronavirus SARS-CoV2",98
Amazonas,"Coronavirus SARS-CoV2",83
"Paraíba","Coronavirus SARS-CoV2",81
"Rio Grande do Norte","Coronavirus SARS-CoV2",74
"Paraná","Coronavirus SARS-CoV2",69
"Paraná",Adenovirus,1
"Rondônia","Coronavirus SARS-CoV2",59
Tocantins,"Coronavirus SARS-CoV2",58
"Maranhão","Coronavirus SARS-CoV2",51
"Piauí","Coronavirus SARS-CoV2",47
"Santa Catarina","Coronavirus SARS-CoV2",46
Roraima,"Coronavirus SARS-CoV2",33
"Minas Gerais","Coronavirus SARS-CoV2",31
"Rio Grande do Sul","Coronavirus SARS-CoV2",28
"Goiás","Coronavirus SARS-CoV2",19
"Goiás","Virus Sincicial Respiratorio",1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",17
"Mato Grosso do Sul","Virus Sincicial Respiratorio",3
"Mato Grosso","Coronavirus SARS-CoV2",15
