"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.558"
"Paraná","Coronavirus SARS-CoV2","1.747"
"Paraná",Rinovirus,9
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",758
Bahia,Rinovirus,3
"Rio de Janeiro","Coronavirus SARS-CoV2",470
"Rio Grande do Sul","Coronavirus SARS-CoV2",438
"Minas Gerais","Coronavirus SARS-CoV2",436
"Santa Catarina","Coronavirus SARS-CoV2",412
"Mato Grosso do Sul","Coronavirus SARS-CoV2",360
Tocantins,"Coronavirus SARS-CoV2",343
"Ceará","Coronavirus SARS-CoV2",323
"Espírito Santo","Coronavirus SARS-CoV2",274
Pernambuco,"Coronavirus SARS-CoV2",244
"Rondônia","Coronavirus SARS-CoV2",237
"Piauí","Coronavirus SARS-CoV2",224
"Rio Grande do Norte","Coronavirus SARS-CoV2",144
Sergipe,"Coronavirus SARS-CoV2",135
"Goiás","Coronavirus SARS-CoV2",118
"Pará","Coronavirus SARS-CoV2",51
"Paraíba","Coronavirus SARS-CoV2",40
Amazonas,"Coronavirus SARS-CoV2",36
"Maranhão","Coronavirus SARS-CoV2",30
"Maranhão","Influenza A",1
Acre,"Coronavirus SARS-CoV2",25
"Mato Grosso","Coronavirus SARS-CoV2",24
Alagoas,"Coronavirus SARS-CoV2",11
"Amapá","Coronavirus SARS-CoV2",9
Roraima,"Coronavirus SARS-CoV2",7
"Distrito Federal","Coronavirus SARS-CoV2",4
