"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.188"
"Paraná","Coronavirus SARS-CoV2","1.739"
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",964
Bahia,"Virus Sincicial Respiratorio",1
"Santa Catarina","Coronavirus SARS-CoV2",734
"Rio Grande do Sul","Coronavirus SARS-CoV2",551
Pernambuco,"Coronavirus SARS-CoV2",518
Tocantins,"Coronavirus SARS-CoV2",499
"Minas Gerais","Coronavirus SARS-CoV2",450
"Rondônia","Coronavirus SARS-CoV2",402
"Mato Grosso do Sul","Coronavirus SARS-CoV2",379
"Rio de Janeiro","Coronavirus SARS-CoV2",379
"Ceará","Coronavirus SARS-CoV2",349
"Rio Grande do Norte","Coronavirus SARS-CoV2",348
Sergipe,"Coronavirus SARS-CoV2",344
"Espírito Santo","Coronavirus SARS-CoV2",326
"Goiás","Coronavirus SARS-CoV2",223
"Piauí","Coronavirus SARS-CoV2",118
"Piauí",Rinovirus,1
Acre,"Coronavirus SARS-CoV2",96
"Pará","Coronavirus SARS-CoV2",85
"Paraíba","Coronavirus SARS-CoV2",66
Amazonas,"Coronavirus SARS-CoV2",55
"Maranhão","Coronavirus SARS-CoV2",31
Roraima,"Coronavirus SARS-CoV2",25
Alagoas,"Coronavirus SARS-CoV2",23
"Amapá","Coronavirus SARS-CoV2",10
"Mato Grosso","Coronavirus SARS-CoV2",7
"Distrito Federal","Coronavirus SARS-CoV2",3
