"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",284
"São Paulo","Influenza A",4
"Ceará","Coronavirus SARS-CoV2",90
"Ceará","Influenza B",1
"Paraná","Coronavirus SARS-CoV2",24
"Paraná",Rinovirus,16
"Paraná",Adenovirus,5
"Paraná","Virus Sincicial Respiratorio",4
"Paraná","Influenza A",3
"Paraná",Metapneumovirus,3
Bahia,"Coronavirus SARS-CoV2",43
Bahia,"Influenza A",7
Bahia,"Influenza B",2
Bahia,Enterovirus,1
"Rio de Janeiro","Coronavirus SARS-CoV2",44
Pernambuco,"Coronavirus SARS-CoV2",14
Pernambuco,"Influenza A",14
Pernambuco,"Influenza B",4
"Rio Grande do Norte","Coronavirus SARS-CoV2",31
Amazonas,"Coronavirus SARS-CoV2",26
"Santa Catarina","Coronavirus SARS-CoV2",23
"Minas Gerais","Coronavirus SARS-CoV2",16
"Minas Gerais","Influenza A",1
"Minas Gerais","Virus Sincicial Respiratorio",1
"Mato Grosso do Sul","Influenza A",10
"Mato Grosso do Sul","Coronavirus SARS-CoV2",2
"Mato Grosso do Sul","Virus Sincicial Respiratorio",2
"Espírito Santo","Coronavirus SARS-CoV2",12
"Espírito Santo","Virus Sincicial Respiratorio",1
"Goiás","Virus Sincicial Respiratorio",7
"Goiás","Coronavirus SARS-CoV2",2
"Goiás",Metapneumovirus,2
"Goiás","Influenza A",1
"Goiás","Influenza B",1
"Pará","Influenza A",7
"Pará","Coronavirus SARS-CoV2",5
"Pará","Influenza B",1
"Piauí","Virus Sincicial Respiratorio",6
"Piauí","Coronavirus SARS-CoV2",2
"Piauí",Metapneumovirus,2
"Piauí","Influenza A",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",9
Sergipe,"Influenza A",6
Sergipe,"Influenza B",2
Sergipe,"Coronavirus SARS-CoV2",1
"Maranhão","Coronavirus SARS-CoV2",3
"Maranhão","Influenza B",2
"Maranhão","Influenza A",1
"Maranhão",Metapneumovirus,1
"Maranhão","Virus Sincicial Respiratorio",1
"Amapá","Coronavirus SARS-CoV2",7
"Paraíba","Coronavirus SARS-CoV2",6
"Rondônia","Influenza B",3
"Rondônia","Coronavirus SARS-CoV2",1
"Rondônia","Influenza A",1
"Mato Grosso","Coronavirus SARS-CoV2",4
Roraima,"Coronavirus SARS-CoV2",2
Tocantins,"Influenza A",2
Alagoas,"Coronavirus SARS-CoV2",1
