"UF de residência","Vírus","Nº de vírus identificados"
"Ceará","Coronavirus SARS-CoV2",633
Pernambuco,"Coronavirus SARS-CoV2",631
"Rio de Janeiro","Coronavirus SARS-CoV2",581
"São Paulo","Coronavirus SARS-CoV2",414
"Amapá","Coronavirus SARS-CoV2",402
"Espírito Santo","Coronavirus SARS-CoV2",389
Bahia,"Coronavirus SARS-CoV2",382
Amazonas,"Coronavirus SARS-CoV2",281
"Pará","Coronavirus SARS-CoV2",266
Alagoas,"Coronavirus SARS-CoV2",240
Sergipe,"Coronavirus SARS-CoV2",228
"Maranhão","Coronavirus SARS-CoV2",205
"Paraíba","Coronavirus SARS-CoV2",184
Acre,"Coronavirus SARS-CoV2",152
"Rio Grande do Norte","Coronavirus SARS-CoV2",129
Roraima,"Coronavirus SARS-CoV2",121
"Santa Catarina","Coronavirus SARS-CoV2",107
"Rondônia","Coronavirus SARS-CoV2",84
"Paraná","Coronavirus SARS-CoV2",81
"Piauí","Coronavirus SARS-CoV2",76
"Rio Grande do Sul","Coronavirus SARS-CoV2",53
"Minas Gerais","Coronavirus SARS-CoV2",51
Tocantins,"Coronavirus SARS-CoV2",51
"Mato Grosso do Sul","Coronavirus SARS-CoV2",38
"Mato Grosso","Coronavirus SARS-CoV2",30
"Goiás","Coronavirus SARS-CoV2",15
"Distrito Federal","Coronavirus SARS-CoV2",3
