"UF de residência","Vírus","Nº de vírus identificados"
"Paraná","Coronavirus SARS-CoV2",989
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",821
"São Paulo","Coronavirus SARS-CoV2",787
"Santa Catarina","Coronavirus SARS-CoV2",686
"Rio Grande do Sul","Coronavirus SARS-CoV2",469
Sergipe,"Coronavirus SARS-CoV2",469
Pernambuco,"Coronavirus SARS-CoV2",362
"Rio de Janeiro","Coronavirus SARS-CoV2",312
"Rio de Janeiro","Virus Sincicial Respiratorio",1
"Ceará","Coronavirus SARS-CoV2",290
"Minas Gerais","Coronavirus SARS-CoV2",242
"Mato Grosso do Sul","Coronavirus SARS-CoV2",164
"Pará","Coronavirus SARS-CoV2",137
"Rondônia","Coronavirus SARS-CoV2",104
"Rio Grande do Norte","Coronavirus SARS-CoV2",87
"Goiás","Coronavirus SARS-CoV2",68
Amazonas,"Coronavirus SARS-CoV2",67
Tocantins,"Coronavirus SARS-CoV2",67
"Paraíba","Coronavirus SARS-CoV2",51
Roraima,"Coronavirus SARS-CoV2",28
"Mato Grosso","Coronavirus SARS-CoV2",25
Acre,"Coronavirus SARS-CoV2",24
Alagoas,"Coronavirus SARS-CoV2",17
"Maranhão","Coronavirus SARS-CoV2",17
"Distrito Federal","Coronavirus SARS-CoV2",3
"Espírito Santo","Coronavirus SARS-CoV2",3
"Piauí","Coronavirus SARS-CoV2",1
