"UF de residência","Vírus","Nº de vírus identificados"
Bahia,Adenovirus,3
Bahia,Metapneumovirus,1
Bahia,"Virus Sincicial Respiratorio",1
"Minas Gerais",Adenovirus,3
"Minas Gerais","Influenza A",1
"Minas Gerais","Influenza B",1
"São Paulo","Influenza B",2
"São Paulo","Influenza A",1
"São Paulo","Parainfluenza tipo 1",1
"São Paulo","Parainfluenza tipo 3",1
"Goiás",Adenovirus,1
"Goiás",Metapneumovirus,1
"Goiás",Rinovirus,1
Amazonas,"Influenza B",2
"Piauí","Parainfluenza tipo 3",2
"Rio de Janeiro","Parainfluenza tipo 1",1
"Rio de Janeiro","Parainfluenza tipo 3",1
"Mato Grosso do Sul","Influenza B",1
"Paraná","Influenza B",1
"Pará","Influenza A",1
Pernambuco,"Influenza B",1
