"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.032"
"Paraná","Coronavirus SARS-CoV2",943
"Paraná",Rinovirus,4
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",301
"Mato Grosso do Sul","Coronavirus SARS-CoV2",228
"Rio Grande do Sul","Coronavirus SARS-CoV2",216
"Santa Catarina","Coronavirus SARS-CoV2",172
"Minas Gerais","Coronavirus SARS-CoV2",164
"Rio de Janeiro","Coronavirus SARS-CoV2",153
"Piauí","Coronavirus SARS-CoV2",138
Tocantins,"Coronavirus SARS-CoV2",137
"Rondônia","Coronavirus SARS-CoV2",110
"Ceará","Coronavirus SARS-CoV2",93
"Espírito Santo","Coronavirus SARS-CoV2",90
Pernambuco,"Coronavirus SARS-CoV2",57
"Goiás","Coronavirus SARS-CoV2",41
"Rio Grande do Norte","Coronavirus SARS-CoV2",40
Sergipe,"Coronavirus SARS-CoV2",26
"Pará","Coronavirus SARS-CoV2",23
Amazonas,"Coronavirus SARS-CoV2",14
Acre,"Coronavirus SARS-CoV2",12
"Maranhão","Coronavirus SARS-CoV2",10
"Paraíba","Coronavirus SARS-CoV2",10
Alagoas,"Coronavirus SARS-CoV2",7
"Mato Grosso","Coronavirus SARS-CoV2",3
"Distrito Federal","Coronavirus SARS-CoV2",2
"Amapá","Coronavirus SARS-CoV2",1
Roraima,"Coronavirus SARS-CoV2",1
