"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",495
"São Paulo","Influenza A",1
"São Paulo","Influenza B",1
Bahia,"Coronavirus SARS-CoV2",303
"Espírito Santo","Coronavirus SARS-CoV2",297
"Paraná","Coronavirus SARS-CoV2",189
"Paraná",Rinovirus,1
Sergipe,"Coronavirus SARS-CoV2",149
"Rio de Janeiro","Coronavirus SARS-CoV2",141
"Rio Grande do Norte","Coronavirus SARS-CoV2",113
"Minas Gerais","Coronavirus SARS-CoV2",105
Pernambuco,"Coronavirus SARS-CoV2",103
"Amapá","Coronavirus SARS-CoV2",95
"Rio Grande do Sul","Coronavirus SARS-CoV2",94
"Ceará","Coronavirus SARS-CoV2",88
"Piauí","Coronavirus SARS-CoV2",88
"Rondônia","Coronavirus SARS-CoV2",84
Acre,"Coronavirus SARS-CoV2",72
Amazonas,"Coronavirus SARS-CoV2",71
"Goiás","Coronavirus SARS-CoV2",62
"Pará","Coronavirus SARS-CoV2",59
"Santa Catarina","Coronavirus SARS-CoV2",58
Alagoas,"Coronavirus SARS-CoV2",52
Tocantins,"Coronavirus SARS-CoV2",52
"Mato Grosso","Coronavirus SARS-CoV2",46
Roraima,"Coronavirus SARS-CoV2",38
"Mato Grosso do Sul","Coronavirus SARS-CoV2",37
"Paraíba","Coronavirus SARS-CoV2",36
"Maranhão","Coronavirus SARS-CoV2",16
"Distrito Federal","Coronavirus SARS-CoV2",3
