"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.145"
"São Paulo","Influenza B",1
"Paraná","Coronavirus SARS-CoV2",767
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",438
"Rio Grande do Sul","Coronavirus SARS-CoV2",253
Sergipe,"Coronavirus SARS-CoV2",244
"Espírito Santo","Coronavirus SARS-CoV2",210
"Santa Catarina","Coronavirus SARS-CoV2",207
"Minas Gerais","Coronavirus SARS-CoV2",170
"Rio de Janeiro","Coronavirus SARS-CoV2",132
Pernambuco,"Coronavirus SARS-CoV2",130
"Mato Grosso do Sul","Coronavirus SARS-CoV2",125
"Rio Grande do Norte","Coronavirus SARS-CoV2",79
"Ceará","Coronavirus SARS-CoV2",78
"Goiás","Coronavirus SARS-CoV2",75
Tocantins,"Coronavirus SARS-CoV2",65
"Piauí","Coronavirus SARS-CoV2",59
"Paraíba","Coronavirus SARS-CoV2",53
"Rondônia","Coronavirus SARS-CoV2",53
Acre,"Coronavirus SARS-CoV2",39
Alagoas,"Coronavirus SARS-CoV2",19
"Maranhão","Coronavirus SARS-CoV2",18
"Amapá","Coronavirus SARS-CoV2",17
"Pará","Coronavirus SARS-CoV2",14
Amazonas,"Coronavirus SARS-CoV2",13
Roraima,"Coronavirus SARS-CoV2",10
"Distrito Federal","Coronavirus SARS-CoV2",3
"Mato Grosso","Coronavirus SARS-CoV2",1
