"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.931"
"Paraná","Coronavirus SARS-CoV2","2.389"
Bahia,"Coronavirus SARS-CoV2","1.217"
"Santa Catarina","Coronavirus SARS-CoV2",884
Sergipe,"Coronavirus SARS-CoV2",643
Pernambuco,"Coronavirus SARS-CoV2",588
"Rio Grande do Sul","Coronavirus SARS-CoV2",572
"Espírito Santo","Coronavirus SARS-CoV2",500
"Rio de Janeiro","Coronavirus SARS-CoV2",491
"Minas Gerais","Coronavirus SARS-CoV2",475
"Minas Gerais",Adenovirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",359
"Rondônia","Coronavirus SARS-CoV2",338
Tocantins,"Coronavirus SARS-CoV2",328
"Rio Grande do Norte","Coronavirus SARS-CoV2",294
"Ceará","Coronavirus SARS-CoV2",272
"Goiás","Coronavirus SARS-CoV2",171
"Piauí","Coronavirus SARS-CoV2",141
Acre,"Coronavirus SARS-CoV2",136
"Pará","Coronavirus SARS-CoV2",120
"Paraíba","Coronavirus SARS-CoV2",113
Amazonas,"Coronavirus SARS-CoV2",104
Roraima,"Coronavirus SARS-CoV2",72
Alagoas,"Coronavirus SARS-CoV2",54
"Maranhão","Coronavirus SARS-CoV2",48
"Amapá","Coronavirus SARS-CoV2",26
"Mato Grosso","Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",2
