"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",647
"Paraná","Coronavirus SARS-CoV2",609
Bahia,"Coronavirus SARS-CoV2",416
Sergipe,"Coronavirus SARS-CoV2",394
"Espírito Santo","Coronavirus SARS-CoV2",263
"Rio Grande do Sul","Coronavirus SARS-CoV2",189
"Minas Gerais","Coronavirus SARS-CoV2",181
"Rio de Janeiro","Coronavirus SARS-CoV2",144
"Mato Grosso do Sul","Coronavirus SARS-CoV2",138
"Santa Catarina","Coronavirus SARS-CoV2",127
Pernambuco,"Coronavirus SARS-CoV2",107
"Rio Grande do Norte","Coronavirus SARS-CoV2",105
"Goiás","Coronavirus SARS-CoV2",91
"Ceará","Coronavirus SARS-CoV2",88
Tocantins,"Coronavirus SARS-CoV2",68
Acre,"Coronavirus SARS-CoV2",63
"Rondônia","Coronavirus SARS-CoV2",62
Alagoas,"Coronavirus SARS-CoV2",54
"Piauí","Coronavirus SARS-CoV2",49
Roraima,"Coronavirus SARS-CoV2",46
"Pará","Coronavirus SARS-CoV2",40
"Paraíba","Coronavirus SARS-CoV2",23
"Amapá","Coronavirus SARS-CoV2",17
"Maranhão","Coronavirus SARS-CoV2",16
"Mato Grosso","Coronavirus SARS-CoV2",9
Amazonas,"Coronavirus SARS-CoV2",2
"Distrito Federal","Coronavirus SARS-CoV2",1
