"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.464"
"Paraná","Coronavirus SARS-CoV2","1.720"
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2",740
Bahia,Rinovirus,6
"Rio de Janeiro","Coronavirus SARS-CoV2",505
"Rio de Janeiro","Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",480
Tocantins,"Coronavirus SARS-CoV2",389
"Santa Catarina","Coronavirus SARS-CoV2",384
"Mato Grosso do Sul","Coronavirus SARS-CoV2",358
"Minas Gerais","Coronavirus SARS-CoV2",339
"Minas Gerais","Virus Sincicial Respiratorio",2
"Ceará","Coronavirus SARS-CoV2",315
"Espírito Santo","Coronavirus SARS-CoV2",257
"Rondônia","Coronavirus SARS-CoV2",257
Pernambuco,"Coronavirus SARS-CoV2",253
"Rio Grande do Norte","Coronavirus SARS-CoV2",195
"Goiás","Coronavirus SARS-CoV2",112
Sergipe,"Coronavirus SARS-CoV2",97
"Piauí","Coronavirus SARS-CoV2",88
"Pará","Coronavirus SARS-CoV2",60
Amazonas,"Coronavirus SARS-CoV2",51
Amazonas,"Virus Sincicial Respiratorio",1
"Paraíba","Coronavirus SARS-CoV2",42
Acre,"Coronavirus SARS-CoV2",40
"Mato Grosso","Coronavirus SARS-CoV2",22
"Maranhão","Coronavirus SARS-CoV2",21
Alagoas,"Coronavirus SARS-CoV2",12
Roraima,"Coronavirus SARS-CoV2",7
"Distrito Federal","Coronavirus SARS-CoV2",3
"Amapá","Coronavirus SARS-CoV2",1
