"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",494
"Paraná","Coronavirus SARS-CoV2",314
"Paraná",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",239
Bahia,"Coronavirus SARS-CoV2",105
"Rio de Janeiro","Coronavirus SARS-CoV2",91
"Rio de Janeiro","Virus Sincicial Respiratorio",1
"Minas Gerais","Coronavirus SARS-CoV2",83
Sergipe,"Coronavirus SARS-CoV2",81
"Santa Catarina","Coronavirus SARS-CoV2",79
Pernambuco,"Coronavirus SARS-CoV2",65
"Mato Grosso do Sul","Coronavirus SARS-CoV2",64
"Ceará","Coronavirus SARS-CoV2",52
"Goiás","Coronavirus SARS-CoV2",34
"Rio Grande do Norte","Coronavirus SARS-CoV2",24
Tocantins,"Coronavirus SARS-CoV2",23
Amazonas,"Coronavirus SARS-CoV2",15
"Rondônia","Coronavirus SARS-CoV2",15
"Paraíba","Coronavirus SARS-CoV2",14
"Pará","Coronavirus SARS-CoV2",14
Acre,"Coronavirus SARS-CoV2",13
"Maranhão","Coronavirus SARS-CoV2",9
Roraima,"Coronavirus SARS-CoV2",9
Alagoas,"Coronavirus SARS-CoV2",3
"Mato Grosso","Coronavirus SARS-CoV2",3
"Piauí","Coronavirus SARS-CoV2",1
