"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.626"
"Paraná","Coronavirus SARS-CoV2","2.284"
"Paraná",Rinovirus,8
Bahia,"Coronavirus SARS-CoV2","1.304"
Tocantins,"Coronavirus SARS-CoV2",682
"Rio Grande do Sul","Coronavirus SARS-CoV2",650
"Santa Catarina","Coronavirus SARS-CoV2",611
"Rondônia","Coronavirus SARS-CoV2",457
"Espírito Santo","Coronavirus SARS-CoV2",456
"Rio de Janeiro","Coronavirus SARS-CoV2",444
"Rio de Janeiro","Influenza A",3
"Rio de Janeiro","Virus Sincicial Respiratorio",3
Pernambuco,"Coronavirus SARS-CoV2",447
"Ceará","Coronavirus SARS-CoV2",419
"Mato Grosso do Sul","Coronavirus SARS-CoV2",417
"Minas Gerais","Coronavirus SARS-CoV2",383
"Goiás","Coronavirus SARS-CoV2",374
Sergipe,"Coronavirus SARS-CoV2",306
"Rio Grande do Norte","Coronavirus SARS-CoV2",258
"Piauí","Coronavirus SARS-CoV2",134
Acre,"Coronavirus SARS-CoV2",78
"Pará","Coronavirus SARS-CoV2",74
"Paraíba","Coronavirus SARS-CoV2",73
Amazonas,"Coronavirus SARS-CoV2",50
"Maranhão","Coronavirus SARS-CoV2",38
"Maranhão","Influenza A",1
"Mato Grosso","Coronavirus SARS-CoV2",28
Roraima,"Coronavirus SARS-CoV2",28
Alagoas,"Coronavirus SARS-CoV2",13
"Amapá","Coronavirus SARS-CoV2",13
"Distrito Federal","Coronavirus SARS-CoV2",8
